发布日期,发布部门,通知标题,通知链接,附件名,附件链接,下载次数
2022-03-30,【实践科】,关于举办福建省首届大学生材料综合竞赛的通知,https://jwch.fzu.edu.cn/info/1039/11916.htm,附件2 参赛作品（科技作品类）说明书格式规范.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7839734,1174
2022-03-29,【实践科】,关于做好第二十八期本科生科研训练计划项目立项工作的通知,https://jwch.fzu.edu.cn/info/1039/11915.htm,附件：福州大学第二十八期本科生科研训练项目选题来源情况一览表（2022年）.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7839643,4415
2022-03-29,【教学运行】,关于2022年清明节放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/11914.htm,无附件,无附件链接,无下载次数
2022-03-29,【实践科】,关于举办福州大学第十六届本科生数学建模竞赛的通知,https://jwch.fzu.edu.cn/info/1039/11913.htm,无附件,无附件链接,无下载次数
2022-03-24,【质量办】,关于举办福州大学第三十二场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/11905.htm,无附件,无附件链接,无下载次数
2022-03-23,【教学运行】,关于做好2022-2023学年第一学期排课准备工作的通知,https://jwch.fzu.edu.cn/info/1036/11904.htm,无附件,无附件链接,无下载次数
2022-03-21,【教研教改】,福州大学关于开展课程思政示范项目建设工作的通知,https://jwch.fzu.edu.cn/info/1037/11899.htm,课程思政示范课程、教学名师和团队申报书.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838154,1059
2022-03-21,【实践科】,关于举办福州大学第二届大学生先进成图技术与产品信息建模创新大赛的通知,https://jwch.fzu.edu.cn/info/1039/11898.htm,附件2：福州大学第二届大学生先进成图技术与产品信息建模创新大赛报名表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838076,978
2022-03-21,【实践科】,关于2022届本科毕业生创新创业实践与素质拓展学分认定工作的通知,https://jwch.fzu.edu.cn/info/1039/11897.htm,学分认定申请表格.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7838075,2499
2022-03-20,【综合科】,福州大学关于全面开展线上教育教学的倡议书,https://jwch.fzu.edu.cn/info/1035/11896.htm,无附件,无附件链接,无下载次数
2022-03-20,【教学运行】,关于全面启动线上教学的紧急通知,https://jwch.fzu.edu.cn/info/1036/11895.htm,无附件,无附件链接,无下载次数
2022-03-17,【实践科】,关于举办2022年福州大学第二十二届数学竞赛暨第十四届全国大学生数学竞赛选拔赛的通知,https://jwch.fzu.edu.cn/info/1039/11893.htm,无附件,无附件链接,无下载次数
2022-03-17,【质量办】,关于开展2021年第十九期新上岗教师课堂授课达标考核的通知,https://jwch.fzu.edu.cn/info/1040/11891.htm,附件1 2021年福州大学新上岗教师达标培训班报名汇总表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7837792,1114
2022-03-17,【质量办】,关于开展2021年第十九期新上岗教师课堂授课达标考核的通知,https://jwch.fzu.edu.cn/info/1040/11891.htm,附件2 第十九期新上岗教师课堂授课达标考核情况汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7837793,928
2022-03-14,【实践科】,关于进一步加强疫情防控期间本科生实习要求的通知,https://jwch.fzu.edu.cn/info/1039/11888.htm,无附件,无附件链接,无下载次数
2022-03-14,【计划科】,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,https://jwch.fzu.edu.cn/info/1038/11887.htm,无附件,无附件链接,无下载次数
2022-03-13,【教学运行】,关于疫情防控阶段本科日常教学工作的通知,https://jwch.fzu.edu.cn/info/1036/11886.htm,无附件,无附件链接,无下载次数
2022-03-10,【质量办】,关于做好2021年课程考核专项检查整改工作的通知,https://jwch.fzu.edu.cn/info/1040/11884.htm,附件：福州大学课程考核专项检查整改情况汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7836389,1095
2022-03-08,【教学运行】,关于2021-2022学年第二学期重修选课的通知,https://jwch.fzu.edu.cn/info/1036/11883.htm,无附件,无附件链接,无下载次数
2022-03-04,【实践科】,关于举办福州大学第六届网络信息安全竞赛的通知,https://jwch.fzu.edu.cn/info/1039/11877.htm,无附件,无附件链接,无下载次数
2022-02-28,【计划科】,关于公布2021-2022学年第二学期通选课取消开课名单的通知,https://jwch.fzu.edu.cn/info/1038/11876.htm,无附件,无附件链接,无下载次数
