date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,temperature_2m_mean
2024-04-29 00:00:00+00:00,32.596,22.696,5.3999996,36671.1,26.66475
2024-04-30 00:00:00+00:00,26.845999,19.546,24.400002,851.72266,23.443914
2024-05-01 00:00:00+00:00,21.796,17.496,4.5,465.6745,18.970999
2024-05-02 00:00:00+00:00,23.396,15.646,0.1,23260.777,18.61058
2024-05-03 00:00:00+00:00,24.146,18.496,1.5,39600.0,20.541832
2024-05-04 00:00:00+00:00,23.345999,19.796,11.099999,7769.9077,21.379332
2024-05-05 00:00:00+00:00,30.345999,19.696,1.9000002,35653.914,24.579336
2024-05-06 00:00:00+00:00,30.396,19.845999,0.0,39600.0,24.152246
2024-05-07 00:00:00+00:00,26.095999,20.496,0.0,14214.013,23.200165
2024-05-08 00:00:00+00:00,27.946,17.696,0.6,40126.16,22.462662
2024-05-09 00:00:00+00:00,24.296,15.296,0.0,36000.0,19.885584
2024-05-10 00:00:00+00:00,26.095999,19.746,0.2,39600.0,22.61683
2024-05-11 00:00:00+00:00,31.546,21.845999,0.5,26452.28,25.250166
2024-05-12 00:00:00+00:00,28.845999,17.196,32.699993,8926.934,22.6085
2024-05-13 00:00:00+00:00,22.996,12.546,0.9,33556.062,17.900167
2024-05-14 00:00:00+00:00,25.095999,14.246,0.0,43387.46,19.61683
2024-05-15 00:00:00+00:00,27.595999,16.496,0.0,43200.0,22.191833
2024-05-16 00:00:00+00:00,24.396,12.996,0.0,43375.934,19.106413
2024-05-17 00:00:00+00:00,28.146,16.796,0.0,43243.82,22.081413
2024-05-18 00:00:00+00:00,29.095999,17.696,0.0,41139.125,23.698082
2024-05-19 00:00:00+00:00,29.595999,20.845999,5.7,27012.207,24.22933
2024-05-20 00:00:00+00:00,24.696,21.146,20.500002,1498.1793,22.65225
2024-05-21 00:00:00+00:00,23.496,20.746,68.200005,0.0,22.23142
2024-05-22 00:00:00+00:00,24.595999,20.496,17.099998,0.0,22.025167
2024-05-23 00:00:00+00:00,23.546,21.196,16.800003,0.0,22.275167
2024-05-24 00:00:00+00:00,29.296,22.696,0.3,16320.16,24.93975
2024-05-25 00:00:00+00:00,28.446,22.696,9.8,18282.361,24.837664
2024-05-26 00:00:00+00:00,31.595999,23.446,2.4,38166.44,26.527246
2024-05-27 00:00:00+00:00,30.646,23.345999,7.799999,20336.072,26.408499
2024-05-28 00:00:00+00:00,25.546,16.946,0.3,39141.363,21.737669
2024-05-29 00:00:00+00:00,25.595999,18.246,0.0,40333.48,21.554335
2024-05-30 00:00:00+00:00,27.496,21.796,2.4,25987.46,24.568916
2024-05-31 00:00:00+00:00,32.896,22.746,19.0,34689.008,26.99392
2024-06-01 00:00:00+00:00,23.996,20.296,44.600002,0.0,21.856415
2024-06-02 00:00:00+00:00,21.546,17.046,12.5,3805.457,19.656414
2024-06-03 00:00:00+00:00,23.296,15.396,0.0,9317.549,20.441832
2024-06-04 00:00:00+00:00,26.446,19.595999,1.2,15866.601,21.74183
2024-06-05 00:00:00+00:00,22.896,20.196,9.8,0.0,21.510582
2024-06-06 00:00:00+00:00,24.396,20.746,0.4,5113.9062,22.35433
2024-06-07 00:00:00+00:00,27.396,21.146,0.1,26677.3,23.856413
2024-06-08 00:00:00+00:00,30.296,22.946,16.800001,32400.0,25.63558
2024-06-09 00:00:00+00:00,29.595999,23.896,25.5,14263.857,25.493917
2024-06-10 00:00:00+00:00,30.646,24.696,8.7,10800.0,26.97933
