Date,Mean Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Sunshine Duration (s)
2024-09-10,28.7,33.7,24.2,0.0,42078.4
2024-09-11,29.2,34.2,24.5,0.0,41990.33
2024-09-12,29.0,32.6,25.9,3.0,41901.62
2024-09-13,28.2,31.4,25.6,2.1,39103.61
2024-09-14,26.5,29.0,24.4,8.3,4353.28
2024-09-15,26.6,28.8,24.9,45.1,27681.36
2024-09-16,28.2,31.9,25.5,1.7,30534.1
2024-09-17,28.6,32.0,26.2,2.5,39727.7
2024-09-18,28.0,32.0,24.8,2.0,34706.72
2024-09-19,28.1,31.6,25.8,8.5,32780.17
2024-09-20,28.8,32.3,25.7,2.3,36607.65
2024-09-21,28.7,33.6,25.8,35.9,37175.98
2024-09-22,25.4,26.4,23.5,56.4,0.0
2024-09-23,22.9,23.7,22.5,61.1,0.0
2024-09-24,24.6,27.0,22.6,43.1,785.84
2024-09-25,26.0,29.1,24.1,29.3,16530.92
2024-09-26,26.0,28.7,24.1,7.8,18792.45
2024-09-27,26.1,29.3,24.6,10.9,29321.18
2024-09-28,26.0,29.5,23.4,1.0,33221.29
2024-09-29,25.8,29.2,22.5,0.6,29254.88
2024-09-30,27.1,30.5,25.1,3.8,34822.17
2024-10-01,26.4,29.4,24.3,10.2,24852.85
2024-10-02,22.3,23.9,20.3,5.4,315.2
2024-10-03,21.3,24.0,19.3,1.8,14400.0
2024-10-04,21.2,24.8,19.7,22.9,7833.01
2024-10-05,23.1,26.5,20.5,1.8,14400.0
2024-10-06,25.5,29.4,23.3,12.3,31367.97
2024-10-07,25.1,27.4,23.7,22.7,25478.57
2024-10-08,23.2,24.6,21.5,3.1,0.0
2024-10-09,22.5,25.2,20.5,1.7,24941.98
2024-10-10,21.6,24.8,17.7,0.0,27384.52
2024-10-11,20.5,25.1,16.5,0.0,37665.8
2024-10-12,22.0,25.9,17.5,0.2,26883.99
2024-10-13,24.4,27.8,21.6,1.8,36000.0
2024-10-14,24.9,29.2,21.5,0.7,36580.32
2024-10-15,24.8,28.7,21.7,2.1,33846.3
2024-10-16,24.9,28.6,22.0,0.3,36840.37
2024-10-17,24.6,29.2,20.4,0.4,30824.01
2024-10-18,25.8,30.6,22.2,0.0,32465.68
2024-10-19,25.9,31.3,23.1,0.3,33461.64
2024-10-20,23.2,27.0,20.6,0.0,32400.0
2024-10-21,23.7,29.7,18.9,0.0,36968.71
2024-10-22,24.4,28.3,20.5,0.2,36848.86
2024-10-23,22.2,26.6,18.4,0.8,36731.01
2024-10-24,20.6,23.8,17.0,0.0,36096.14
2024-10-25,23.0,25.6,20.4,0.0,0.0
2024-10-26,23.5,25.1,22.4,1.4,94.51
2024-10-27,25.1,28.8,22.7,5.9,31672.49
2024-10-28,22.6,24.9,21.2,0.3,18712.82
2024-10-29,21.1,25.4,18.0,0.0,36511.41
2024-10-30,21.9,25.7,17.7,0.0,33237.88
2024-10-31,23.4,26.1,21.9,15.5,1947.36
2024-11-01,21.7,23.3,20.0,30.1,0.0
2024-11-02,21.5,26.4,18.2,0.0,36235.56
2024-11-03,21.4,24.7,18.7,0.0,35878.71
2024-11-04,21.3,26.5,16.4,0.0,32413.82
2024-11-05,21.1,24.3,17.7,0.0,35919.14
2024-11-06,17.4,20.2,14.1,0.0,35980.59
2024-11-07,16.8,21.5,13.0,0.0,32978.73
2024-11-08,18.4,23.3,13.8,0.0,29798.16
2024-11-09,21.4,24.7,19.0,0.0,4513.47
2024-11-10,22.1,26.8,17.9,0.0,35527.81
2024-11-11,21.6,25.7,18.3,0.0,35496.93
2024-11-12,21.3,24.0,18.3,0.0,2968.98
2024-11-13,21.0,22.7,20.0,1.5,0.0
2024-11-14,23.6,26.6,20.8,4.4,962.36
2024-11-15,24.7,28.4,22.5,4.2,15439.49
2024-11-16,24.1,29.2,21.2,10.5,35104.0
2024-11-17,22.4,27.3,19.3,0.0,35338.38
2024-11-18,18.3,20.7,15.7,0.3,28400.49
2024-11-19,17.2,20.0,15.4,3.1,8372.99
2024-11-20,17.3,19.7,15.6,16.7,2152.73
2024-11-21,16.7,17.6,15.1,11.8,4317.33
2024-11-22,15.9,20.1,12.8,0.0,35244.23
2024-11-23,16.4,20.0,13.1,0.0,12128.43
2024-11-24,17.2,21.0,14.0,1.0,24781.9
2024-11-25,17.1,19.4,15.2,22.9,1625.21
2024-11-26,17.2,21.3,14.8,0.0,31596.47
2024-11-27,15.2,19.2,11.6,0.0,35188.63
2024-11-28,13.1,17.9,9.3,0.0,35182.5
2024-11-29,12.3,18.1,7.4,0.0,35178.26
2024-11-30,12.8,17.8,8.1,0.0,25997.75
2024-12-01,15.2,21.6,10.0,0.0,35175.37
2024-12-02,16.7,23.4,11.1,0.0,35176.62
2024-12-03,18.2,21.9,14.7,0.7,27065.78
2024-12-04,16.8,19.2,14.8,0.1,447.59
2024-12-05,16.5,21.5,12.8,0.0,29031.14
2024-12-06,16.8,19.7,14.5,0.2,21310.09
2024-12-07,15.6,18.4,13.3,0.3,0.0
2024-12-08,13.0,14.4,11.0,0.0,4374.59
2024-12-09,13.3,17.2,9.5,0.0,28581.3
2024-12-10,16.0,19.7,12.5,0.0,10117.66
2024-12-11,16.8,22.3,12.1,1.0,32388.96
2024-12-12,14.2,17.1,13.1,0.0,25624.92
2024-12-13,13.9,16.5,12.0,0.1,26854.27
2024-12-14,11.4,15.0,8.7,0.0,27757.11
2024-12-15,9.6,13.8,6.2,0.0,32217.41
2024-12-16,10.5,14.9,7.4,0.0,34863.04
2024-12-17,10.3,17.0,5.1,0.0,34851.53
2024-12-18,10.9,16.9,6.3,0.0,34842.72
2024-12-19,9.2,12.7,5.1,0.0,24611.18
2024-12-20,11.8,18.1,7.3,0.0,32117.95
2024-12-21,12.7,17.0,10.1,0.0,33423.87
2024-12-22,9.6,12.6,6.9,0.0,34833.79
2024-12-23,10.9,15.8,6.6,0.0,18861.97
2024-12-24,12.0,16.2,7.2,0.0,17157.12
2024-12-25,15.9,20.7,12.8,0.5,28412.31
2024-12-26,14.5,16.5,13.1,0.7,7082.82
2024-12-27,13.4,17.3,10.1,0.0,25383.01
2024-12-28,12.3,18.0,8.5,0.0,34892.08
2024-12-29,9.1,12.9,4.7,0.0,34909.84
2024-12-30,13.7,20.8,8.2,0.0,34929.83
2024-12-31,12.5,18.9,7.7,0.0,34952.01
