通知人,附件名,下载次数
计划科,超星尔雅使用手册（学生版）.pdf,5143
质量办,附件1：福州大学本科课程考核教学档案检查要点.docx,829
质量办,附件2：福州大学本科课程考核教学档案检查评价与整改情况反馈表.docx,668
实践科,附件2：福州大学第二十九期本科生科研训练计划项目结题成绩汇总表.doc,3788
实践科,附件1：福州大学第二十八期本科生科研训练计划项目结题成绩汇总表.xls,2022
实践科,附件1：福州大学2022年国家、省级大学生创新创业训练计划项目结题成绩汇总表.xls,1434
实践科,附件2：福州大学2023年国家、省级大学生创新创业训练计划项目结题成绩汇总表.doc,2305
实践科,附件1：专家信息汇总表.xlsx,772
质量办,附件：2024年秋季学期申请类督导听课汇总表.docx,588
教学运行,福州大学本科生转专业管理实施办法.doc,871
教学运行,福州大学参军退伍复学后学生转专业审批表.doc,697
教研教改,附件1：福州大学2024级“数智实验班”招生简章.docx,3955
教研教改,附件3：承诺书.docx,1143
教研教改,附件2：福州大学2024级“数智实验班”选拔方案.docx,3238
教研教改,附件1：福州大学2024级“数理综合班”招生简章.doc,2881
教研教改,附件2：承诺书.doc,927
教研教改,附件2：福州大学2024级“数理金融实验班”选拔方案.doc,2049
教研教改,附件1：福州大学2024级“数理金融实验班“招生简章.doc,2138
教研教改,附件4：承诺书.doc,692
教研教改,附件3：2024级数理金融实验班申请表.doc,815
计划科,2024-2025学年第一学期国情课列表.docx,1183
计划科,港澳台侨学生思政课和军事课程退选申请表.docx,929
计划科,超星尔雅使用手册（学生版）.pdf,3262
计划科,智慧树学生手册.pptx,1712
计划科,慕课堂学生操作手册.pdf,4817
质量办,附件1：福州大学课堂教学质量评估表.doc,624
质量办,附件2：高校思政课教学指导组听课评价表.doc,622
质量办,附件3：2024-2025学年第一学期第一周课表.xlsx,739
质量办,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,577
质量办,附件1：关于组织2024年工程教育认证研讨培训的通告.docx,692
质量办,附件2：2024年工程教育认证研讨培训报名回执.docx,540
实践科,附件：关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知.pdf,1404
实践科,附件：福州大学2024届优秀本科生毕业设计（论文）名单.doc,4051
教学运行,2302 大学物理A（上）、B（上）、C课期末考7.4.xlsx,783
教学运行,2302 大学英语（二）、大学英语（四）课程期末考6.22上午.xlsx,696
教学运行,2302 英语专题课期末考6.29.xlsx,754
教学运行,2302 工程制图A（下）、D、F期末考6.30上午.xlsx,665
教学运行,2302 大学英语（三）期末考 6.23上午.xlsx,761
实践科,附件1：关于组织申报福建高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知（闽高会[2024]1号）.pdf,724
实践科,附件2：申报材料.zip,618
教学运行,2302高等数学B（下）期末考 6.23下午.xlsx,782
教学运行,2302 高等数学C（下）期末考 6.23下午.xlsx,636
