通知人,标题,日期,链接
教学运行,关于2024年春季学期《大学物理实验》绪论课程教室安排的通知,2024-01-20,https://jwch.fzu.edu.cn/info/1036/13254.htm
综合科,教务处关于2024年寒假用印安排的通知,2024-01-20,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13252
教材中心,关于组织申报福建省“十四五”普通高等教育本科规划教材建设项目的通知,2024-01-18,https://jwch.fzu.edu.cn/info/1042/13251.htm
质量办,关于上报学院本科教育教学质量保障2023年工作总结和2024年工作计划的通知,2024-01-12,https://jwch.fzu.edu.cn/info/1040/13248.htm
计划科,关于核对2023-2024学年第二学期通识教育选修课开课信息的通知,2024-01-11,https://jwch.fzu.edu.cn/info/1038/13245.htm
综合科,关于召开2023-2024学年秋季学期期末本科教育教学工作会议的通知,2024-01-10,https://jwch.fzu.edu.cn/info/1035/13242.htm
教学运行,关于2023-2024学年第二学期辅修专业选课的通知,2024-01-09,https://jwch.fzu.edu.cn/info/1036/13241.htm
实践科,关于组织参加2024年美国大学生数学建模竞赛通知,2024-01-08,https://jwch.fzu.edu.cn/info/1039/13231.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,2024-01-03,https://jwch.fzu.edu.cn/info/1036/13221.htm
教学运行,关于2023-2024学年第一学期《高等数学C（上）》、《高等数学D》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/info/1036/13213.htm
教学运行,关于2023-2024学年第一学期《高等数学A（上）》、《高等数学B（上）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/info/1036/13212.htm
教学运行,关于2023-2024学年第一学期《大学物理A（下）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/info/1036/13211.htm
教学运行,关于2023-2024学年第一学期《大学英语（二）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/info/1036/13210.htm
教学运行,关于2023-2024学年第一学期《大学英语（一）》、《大学英语（三）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/info/1036/13209.htm
教学运行,关于2023-2024学年第一学期《工程制图A（上）》、《工程制图C（上）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn/info/1036/13208.htm
实践科,关于公布大学生校外实践教学基地检查结果的通知,2023-12-29,https://jwch.fzu.edu.cn/info/1039/13207.htm
实践科,关于公布首批大学生示范性校外实践教学基地名单的通知,2023-12-28,https://jwch.fzu.edu.cn/info/1039/13206.htm
教研教改,关于开展福建省第二批新工科教育优秀教学案例征集、实践平台共建共享推荐工作的通知,2023-12-26,https://jwch.fzu.edu.cn/info/1037/13204.htm
教研教改,关于开展福建省高校第二批课程思政优秀教学案例推荐工作的通知,2023-12-26,https://jwch.fzu.edu.cn/info/1037/13203.htm
质量办,福州大学关于公布2023年教师教学创新大赛获奖名单的通知,2023-12-26,https://jwch.fzu.edu.cn/info/1040/13201.htm
教学运行,关于2023-2024学年第二学期本科生学期选课的通知,2023-12-25,https://jwch.fzu.edu.cn/info/1036/13198.htm
教学运行,关于2024年元旦放假课程调整的通知,2023-12-25,https://jwch.fzu.edu.cn/info/1036/13197.htm
教研教改,关于转发教育部高等教育司《关于公布2023年产学合作协同育人项目立项名单的通知》的通知,2023-12-21,https://jwch.fzu.edu.cn/info/1037/13196.htm
教学运行,关于2023-2024学年第一学期《大学英语（四）》课程期末考试安排的通知,2023-12-21,https://jwch.fzu.edu.cn/info/1036/13195.htm
教学运行,关于2023-2024学年第一学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,2023-12-21,https://jwch.fzu.edu.cn/info/1036/13194.htm
教学运行,关于2023-2024学年第一学期计算机语言类课程期末考试安排的通知,2023-12-21,https://jwch.fzu.edu.cn/info/1036/13193.htm
实践科,关于做好2023年省级以上大学生创新创业训练计划项目和第二十九期本科生科研训练计划项目中期检查工作的通知,2023-12-19,https://jwch.fzu.edu.cn/info/1039/13191.htm
教学运行,关于2023-2024学年第一学期《思想道德与法治》课程期末考试安排的通知,2023-12-18,https://jwch.fzu.edu.cn/info/1036/13182.htm
教学运行,关于2023-2024学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2023-12-18,https://jwch.fzu.edu.cn/info/1036/13181.htm
质量办,关于2023年新上岗教师教学达标培训班教师配备导师的通知,2023-12-15,https://jwch.fzu.edu.cn/info/1040/13173.htm
实践科,关于举办福州大学第十届桥梁设计大赛的通知,2023-12-06,https://jwch.fzu.edu.cn/info/1039/13167.htm
教研教改,福州大学关于开展第三批国家级一流本科课程申报推荐工作的通知,2023-12-06,https://jwch.fzu.edu.cn/info/1037/13166.htm
教材中心,转发教育部办公厅关于印发《 “十四五”普通高等教育本科国家级规划教材建设实施方案》的通知,2023-12-05,https://jwch.fzu.edu.cn/info/1042/13164.htm
教学运行,关于2023-2024学年第一学期《马克思主义基本原理》课程期末考试安排的通知,2023-12-05,https://jwch.fzu.edu.cn/info/1036/13163.htm
教学运行,关于2023-2024学年第一学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2023-12-05,https://jwch.fzu.edu.cn/info/1036/13162.htm
实践科,关于做好2024届本科生毕业设计（论文）工作的通知,2023-12-04,https://jwch.fzu.edu.cn/info/1039/13155.htm
计划科,关于2023-2024学年第二学期修读辅修专业学生名单的公示,2023-12-04,https://jwch.fzu.edu.cn/info/1038/13154.htm
实践科,关于开展大学生校外实践教学基地抽检评审的通知,2023-11-29,https://jwch.fzu.edu.cn/info/1039/13152.htm
教研教改,关于公布2023年福州大学课程思政示范项目立项建设名单的通知,2023-11-28,https://jwch.fzu.edu.cn/info/1037/13151.htm
教学运行,关于2023-2024学年第一学期《概率论与数理统计》课程期末考试安排的通知,2023-11-27,https://jwch.fzu.edu.cn/info/1036/13147.htm
教学运行,关于2023-2024学年第一学期《大学物理B（下）》课程期末考试安排的通知,2023-11-27,https://jwch.fzu.edu.cn/info/1036/13146.htm
教材中心,关于做好2023-2024学年第二学期教材选用及征订工作的通知,2023-11-23,https://jwch.fzu.edu.cn/info/1042/13144.htm
实践科,关于公布第十五届蓝桥杯全国软件和信息技术专业人才大赛省赛参赛资格名单的通知,2023-11-22,https://jwch.fzu.edu.cn/info/1039/13142.htm
实践科,关于举办第十四届全国大学生电子商务“三创赛”福州大学校赛的通知,2023-11-17,https://jwch.fzu.edu.cn/info/1039/13134.htm
综合科,关于2023-2024学年第一学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2023-11-14,https://jwch.fzu.edu.cn/info/1035/13132.htm
教研教改,关于转发福建省高等教育研究院《“福建省高等教育改革与研究项目”申报通知》的通知,2023-11-13,https://jwch.fzu.edu.cn/info/1037/13122.htm
计划科,关于组织申报2023-2024学年第二学期通识教育选修课的通知,2023-11-13,https://jwch.fzu.edu.cn/info/1038/13121.htm
教学运行,关于2023-2024学年第一学期《工程制图E》、《画法几何》课程期末考试安排的通知,2023-11-08,https://jwch.fzu.edu.cn/info/1036/13109.htm
教学运行,关于2023-2024学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2023-11-08,https://jwch.fzu.edu.cn/info/1036/13108.htm
教学运行,关于2023-2024学年第一学期《线性代数》、《线性代数与解析几何》课程半期考试安排的通知,2023-11-08,https://jwch.fzu.edu.cn/info/1036/13107.htm
教学运行,关于2023-2024学年第一学期《高等数学A（下）》课程期末考试安排的通知,2023-11-08,https://jwch.fzu.edu.cn/info/1036/13105.htm
教学运行,关于公布2023学年各学院转专业实施细则的通知,2023-11-07,https://jwch.fzu.edu.cn/info/1036/13102.htm
教学运行,关于2023-2024学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2023-11-07,https://jwch.fzu.edu.cn/info/1036/13101.htm
计划科,关于2023-2024学年第一学期在校学生申请辅修专业的通知,2023-11-06,https://jwch.fzu.edu.cn/info/1038/13094.htm
质量办,关于期中党政领导集中听课的通知,2023-10-30,https://jwch.fzu.edu.cn/info/1040/13079.htm
综合科,关于福州大学智慧教室二期使用培训的通知,2023-10-24,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13062
教材中心,关于召开教材建设研讨会暨福州大学第四十八场“教学有道”研讨会的通知,2023-10-23,https://jwch.fzu.edu.cn/info/1042/13052.htm
实践科,关于举办第十五届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,2023-10-20,https://jwch.fzu.edu.cn/info/1039/13051.htm
教学运行,关于做好2023学年本科生转专业工作的通知,2023-10-19,https://jwch.fzu.edu.cn/info/1036/13043.htm
质量办,关于举办福州大学第四十七场“教学有道”研讨活动暨2023年教师教学创新大赛培训会的通知,2023-10-19,https://jwch.fzu.edu.cn/info/1040/13041.htm
教学运行,关于2023-2024学年第一学期《高等数学A（下）》课程半期考试安排的通知,2023-10-17,https://jwch.fzu.edu.cn/info/1036/13039.htm
教学运行,关于2023-2024学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2023-10-16,https://jwch.fzu.edu.cn/info/1036/13038.htm
实践科,关于2023年高校教学基本状态数据库教学相关数据报送的通知,2023-10-16,https://jwch.fzu.edu.cn/info/1039/13035.htm
教学运行,关于做好2024届预计毕业生电子注册图像采集工作的通知,2023-10-16,https://jwch.fzu.edu.cn/info/1036/13034.htm
教学运行,关于组织2023级新生开展学籍信息自查工作的通知,2023-10-09,https://jwch.fzu.edu.cn/info/1036/13029.htm
质量办,关于开展福州大学2023年教师教学创新大赛的通知,2023-10-08,https://jwch.fzu.edu.cn/info/1040/13028.htm
教学运行,关于2023-2024学年第一学期《概率与数理统计》课程半期考试安排的通知,2023-10-08,https://jwch.fzu.edu.cn/info/1036/13027.htm
教学运行,关于2023年中秋节、国庆节放假课程调整的通知,2023-09-25,https://jwch.fzu.edu.cn/info/1036/13017.htm
教学运行,2023-2024-01学期2023级体育理论教室安排表,2023-09-20,https://jwch.fzu.edu.cn/info/1036/13014.htm
教学运行,关于做好2023-2024学年第二学期排课准备工作的通知,2023-09-20,https://jwch.fzu.edu.cn/info/1036/13013.htm
实践科,关于公布第十二届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,2023-09-19,https://jwch.fzu.edu.cn/info/1039/13011.htm
计划科,关于2023-2024学年第一学期爱课程平台参加通识教育选修课学习的重要提示,2023-09-18,https://jwch.fzu.edu.cn/info/1038/13001.htm
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示 ,2023-09-18,https://jwch.fzu.edu.cn/info/1038/13000.htm
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,2023-09-15,https://jwch.fzu.edu.cn/info/1039/12999.htm
实践科,关于公布第二十七、二十八期本科生科研训练计划项目结题成绩的通知,2023-09-15,https://jwch.fzu.edu.cn/info/1039/12998.htm
质量办,关于举办福州大学第四十六场“教学有道”研讨活动的通知,2023-09-14,https://jwch.fzu.edu.cn/info/1040/12997.htm
教研教改,福州大学关于公布2023级 “嘉锡化学拔尖班”学生名单的通知,2023-09-14,https://jwch.fzu.edu.cn/info/1037/12996.htm
教研教改,福州大学关于公布2023级“数理综合班”学生名单的通知,2023-09-14,https://jwch.fzu.edu.cn/info/1037/12995.htm
教研教改,福州大学关于公布2023级“数理金融实验班”学生名单的通知,2023-09-14,https://jwch.fzu.edu.cn/info/1037/12994.htm
教学运行,关于2023-2024学年第一学期重新学习选课、缴费的通知,2023-09-11,https://jwch.fzu.edu.cn/info/1036/12983.htm
教学运行,关于做好2023年参军退役学生转专业的通知,2023-09-08,https://jwch.fzu.edu.cn/info/1036/12981.htm
教学运行,关于9月7日开展线上教学的紧急通知,2023-09-06,https://jwch.fzu.edu.cn/info/1036/12977.htm
教学运行,关于受第11号台风“海葵”影响课程调整的通知,2023-09-06,https://jwch.fzu.edu.cn/info/1036/12973.htm
计划科,关于公布2023-2024学年第一学期通选课取消开课名单的通知,2023-09-05,https://jwch.fzu.edu.cn/info/1038/12962.htm
综合科,关于召开2023-2024学年秋季学期期初本科教育教学工作会议的通知,2023-09-01,https://jwch.fzu.edu.cn/info/1035/12955.htm
教研教改,关于公布参加2023级“数理综合班”选拔面试学生名单的通知,2023-08-30,https://jwch.fzu.edu.cn/info/1037/12953.htm
教研教改,关于公布参加2023级“嘉锡化学拔尖班”选拔面试学生名单的通知,2023-08-30,https://jwch.fzu.edu.cn/info/1037/12952.htm
计划科,关于2023级学生选修《大学信息技术基础》的通知,2023-08-30,https://jwch.fzu.edu.cn/info/1038/12951.htm
教研教改,关于公布参加2023级“数理金融实验班”选拔面试学生名单的通知,2023-08-29,https://jwch.fzu.edu.cn/info/1037/12942.htm
实践科,关于做好2022-2023学年度本科毕业论文（设计）抽检工作的通知,2023-08-29,https://jwch.fzu.edu.cn/info/1039/12939.htm
综合科,关于2023-2024学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2023-08-27,https://jwch.fzu.edu.cn/info/1035/12937.htm
教学运行,关于2023-2024第一学期辅修专业补退选、缴费的通知,2023-08-27,https://jwch.fzu.edu.cn/info/1036/12936.htm
质量办,关于开学第一周集中听课的通知,2023-08-27,https://jwch.fzu.edu.cn/info/1040/12935.htm
综合科,关于2023级福州大学本科生学生证信息采集的通知,2023-08-27,https://jwch.fzu.edu.cn/info/1035/12934.htm
教学运行,关于2023-2024第一学期学期选课补退选的通知,2023-08-26,https://jwch.fzu.edu.cn/info/1036/12933.htm
计划科,关于2023-2024学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2023-08-26,https://jwch.fzu.edu.cn/info/1038/12932.htm
计划科,关于2023-2024学年第一学期通识教育选修课选课的通知,2023-08-26,https://jwch.fzu.edu.cn/info/1038/12931.htm
教研教改,福州大学关于开展2023级“嘉锡化学拔尖班”招生工作的通知,2023-08-26,https://jwch.fzu.edu.cn/info/1037/12929.htm
教研教改,福州大学关于开展2023级“数理综合班”招生工作的通知,2023-08-26,https://jwch.fzu.edu.cn/info/1037/12927.htm
教研教改,福州大学关于开展2023级“数理金融实验班”招生工作的通知,2023-08-26,https://jwch.fzu.edu.cn/info/1037/12926.htm
实践科,福州大学关于公布2023年本科生开放探索性实验项目（课程）评选结果的通知,2023-08-23,https://jwch.fzu.edu.cn/info/1039/12923.htm
综合科,关于开展智慧教室使用培训工作的通知,2023-08-21,https://jwch.fzu.edu.cn/info/1035/12913.htm
实践科,关于转发《关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知》的通知,2023-08-21,https://jwch.fzu.edu.cn/info/1039/12912.htm
实践科,关于开展大学生校外实践教学基地检查评估的通知,2023-08-14,https://jwch.fzu.edu.cn/info/1039/12903.htm
质量办,关于举办福州大学第四十五场“教学有道”研讨活动的通知,2023-08-04,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1040&wbnewsid=12893
综合科,关于本科教学管理系统及其相关业务系统暂停使用的通知,2023-08-02,https://jwch.fzu.edu.cn/info/1035/12892.htm
综合科,教务处关于2023年暑假用印安排的通知,2023-07-08,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=12884
实践科,关于公布福州大学2023届本科生优秀毕业设计（论文）名单的通知,2023-07-05,https://jwch.fzu.edu.cn/info/1039/12881.htm
综合科,关于召开2022-2023学年春季学期期末本科教育教学工作会议的通知,2023-07-03,https://jwch.fzu.edu.cn/info/1035/12874.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,2023-06-30,https://jwch.fzu.edu.cn/info/1036/12870.htm
质量办,关于举办福州大学第四十四场“教学有道”研讨活动的通知,2023-06-30,https://jwch.fzu.edu.cn/info/1040/12868.htm
实践科,关于参加“2023高教社杯全国大学生数学建模竞赛”报名与集训的通知,2023-06-29,https://jwch.fzu.edu.cn/info/1039/12867.htm
质量办,关于开展2023年度教师本科教学综合测评工作的通知,2023-06-28,https://jwch.fzu.edu.cn/info/1040/12864.htm
计划科,关于核对2023-2024学年第一学期通识教育选修课开课信息的有关通知,2023-06-27,https://jwch.fzu.edu.cn/info/1038/12863.htm
实践科,关于公布2023年国家级、省级大学生创新创业训练计划推荐立项项目的通知,2023-06-26,https://jwch.fzu.edu.cn/info/1039/12862.htm
教学运行,关于2022-2023学年第二学期大学英语拓展课程期末考试安排的通知,2023-06-21,https://jwch.fzu.edu.cn/info/1036/12850.htm
教学运行,关于2022-2023学年第二学期《大学物理A（上）、B（上）、C》课程期末考试安排的通知,2023-06-21,https://jwch.fzu.edu.cn/info/1036/12848.htm
实践科,关于举办2023年福州大学大学生工程实践与创新能力大赛暨2023年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,2023-06-20,https://jwch.fzu.edu.cn/info/1039/12847.htm
实践科,关于公布第十四届企业经营模拟沙盘对抗赛获奖名单的通知,2023-06-20,https://jwch.fzu.edu.cn/info/1039/12846.htm
实践科,关于公布2023年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,2023-06-20,https://jwch.fzu.edu.cn/info/1039/12845.htm
实践科,关于公布第二十届程序设计竞赛获奖名单的通知,2023-06-20,https://jwch.fzu.edu.cn/info/1039/12844.htm
实践科,关于公布2023年第二十三届数学竞赛获奖名单的通知,2023-06-20,https://jwch.fzu.edu.cn/info/1039/12843.htm
教学运行,关于2023年端午节放假课程调整的通知,2023-06-19,https://jwch.fzu.edu.cn/info/1036/12842.htm
教学运行,关于2023-2024学年第一学期本科生学期选课的通知,2023-06-19,https://jwch.fzu.edu.cn/info/1036/12841.htm
质量办,关于举办福州大学第四十三场“教学有道”研讨活动的通知,2023-06-15,https://jwch.fzu.edu.cn/info/1040/12835.htm
教研教改,福州大学关于开展2023年省级一流本科课程申报推荐工作的通知,2023-06-14,https://jwch.fzu.edu.cn/info/1037/12832.htm
教研教改,福州大学关于公布2021级数理金融实验班学生主辅修专业及导师名单的通知,2023-06-13,https://jwch.fzu.edu.cn/info/1037/12830.htm
计划科,关于公布2023-2024学年第一学期修读辅修专业学生名单的通知,2023-06-12,https://jwch.fzu.edu.cn/info/1038/12829.htm
教学运行,关于2022-2023学年第二学期《大学英语（二）、（三）、（四）》课程期末考试安排的通知,2023-06-09,https://jwch.fzu.edu.cn/info/1036/12828.htm
教学运行,关于2022-2023学年第二学期《工程制图A（下）、C（下）、D、F》课程期末考试安排的通知,2023-06-09,https://jwch.fzu.edu.cn/info/1036/12827.htm
综合科,关于转发12306手机客户端提供学生优惠资质在线核验服务的通知,2023-06-07,https://jwch.fzu.edu.cn/info/1035/12821.htm
计划科,关于2023-2024学年第一学期修读辅修专业学生名单的公示,2023-06-05,https://jwch.fzu.edu.cn/info/1038/12808.htm
教学运行,关于2022-2023学年第二学期《概率论与数理统计》课程期末考试安排的通知,2023-06-01,https://jwch.fzu.edu.cn/info/1036/12807.htm
实践科,关于公布第二十九期本科生科研训练计划立项项目的通知,2023-05-31,https://jwch.fzu.edu.cn/info/1039/12805.htm
实践科,关于公布2023年本科生创新创业实践与素质拓展学分认定结果的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12804.htm
实践科,关于公布福州大学第九届桥梁设计大赛获奖名单的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12803.htm
实践科,关于公布福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛获奖名单的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12802.htm
实践科,关于公布福州大学第三届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2023-05-30,https://jwch.fzu.edu.cn/info/1039/12801.htm
教学运行,关于2022-2023学年第二学期《思想道德与法治》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12798.htm
教学运行,关于2022-2023学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12797.htm
教学运行,关于2022-2023学年第二学期《马克思主义基本原理》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12796.htm
教学运行,关于2022-2023学年第二学期《高等数学A（中）、B（下）、C（下）》课程期末考试安排的通知,2023-05-26,https://jwch.fzu.edu.cn/info/1036/12794.htm
教学运行,关于2022-2023学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,2023-05-24,https://jwch.fzu.edu.cn/info/1036/12783.htm
