日期,通知人,标题,详情链接,附件名,下载次数,附件链接
2025-09-12,教研教改,关于2025级“数理综合班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14205.htm,无,,
2025-09-12,教研教改,关于2025级“嘉锡化学拔尖班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14204.htm,无,,
2025-09-12,教研教改,关于2025级“数理金融实验班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14203.htm,无,,
2025-09-12,质量办,关于开展福州大学2025年教师教学创新大赛的通知,https://jwch.fzu.edu.cn/info/1040/14202.htm,附件1-5.zip,194,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16717599
2025-09-10,教研教改,关于公布参加2025级“数智实验班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/info/1037/14201.htm,无,,
2025-09-10,教研教改,关于公布参加2025级“数理综合班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/info/1037/14198.htm,无,,
2025-09-10,教研教改,关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/info/1037/14197.htm,无,,
2025-09-10,教研教改,关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/info/1037/14196.htm,无,,
2025-09-10,教学运行,关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/info/1036/14199.htm,福州大学本科生转专业管理实施办法.docx,234,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630
2025-09-10,教学运行,关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/info/1036/14199.htm,福州大学参军退伍复学后学生转专业审批表.doc,157,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625
2025-09-07,教学运行,关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,https://jwch.fzu.edu.cn/info/1036/14191.htm,无,,
2025-09-07,综合科,关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,https://jwch.fzu.edu.cn/info/1035/14190.htm,无,,
2025-09-07,综合科,关于2025级本科生（含访学学生）学生证信息采集的通知,https://jwch.fzu.edu.cn/info/1035/14186.htm,无,,
2025-09-06,质量办,关于开展2025年秋季学期申请类督导听课工作的通知,https://jwch.fzu.edu.cn/info/1040/14187.htm,附件：2025年秋季学期申请类督导听课汇总表.docx,82,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714968
2025-09-06,质量办,关于开展2025年工程教育专业认证申请工作的通知,https://jwch.fzu.edu.cn/info/1040/14188.htm,附件3 工程教育认证申请书（2025版）修订说明.pdf,418,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714969
2025-09-06,质量办,关于开展2025年工程教育专业认证申请工作的通知,https://jwch.fzu.edu.cn/info/1040/14188.htm,附件2 工程教育认证申请书（2025版）.docx,118,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714970
2025-09-06,质量办,关于开展2025年工程教育专业认证申请工作的通知,https://jwch.fzu.edu.cn/info/1040/14188.htm,附件1 2025年接受认证申请的专业领域及专业一览表.pdf,430,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714971
2025-09-06,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/14189.htm,附件1：福州大学课堂教学质量评估表.doc,99,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714972
2025-09-06,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/14189.htm,附件2：福州大学课堂教学质量评估表（思政课）.docx,95,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714973
2025-09-06,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/14189.htm,附件3：202501第一周课表.xlsx,162,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714974
2025-09-06,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/14189.htm,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,69,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714975
2025-09-06,计划科,关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/info/1038/14185.htm,2025-2026学年第一学期国情课列表.docx,561,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714904
2025-09-06,计划科,关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/info/1038/14185.htm,港澳台侨学生思政课和军事课程退选申请表.docx,603,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714905
2025-09-06,计划科,关于2025-2026学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/14184.htm,超星尔雅使用手册（学生版）.pdf,1072,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714902
2025-09-06,计划科,关于2025-2026学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/14184.htm,慕课堂学生操作手册.pdf,752,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714903
2025-09-06,计划科,关于2025-2026学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/14184.htm,智慧树学生手册2025.pptx,1077,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714901
2025-09-05,教材中心,关于2025-2026学年第一学期教材发放的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14182,无,,
2025-09-05,教研教改,福州大学关于开展2025级“数理综合班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14181.htm,附件1：福州大学2025级“数理综合班”招生简章.doc,1727,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714578
2025-09-05,教研教改,福州大学关于开展2025级“数理综合班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14181.htm,附件2：承诺书.doc,425,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714579
2025-09-05,教研教改,福州大学关于开展2025级“数智实验班” 招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14179.htm,附件2：福州大学2025级“数智实验班”选拔方案.docx,1527,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714573
2025-09-05,教研教改,福州大学关于开展2025级“数智实验班” 招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14179.htm,附件1：福州大学2025级“数智实验班”招生简章.docx,1543,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714572
2025-09-05,教研教改,福州大学关于开展2025级“数智实验班” 招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14179.htm,附件3：承诺书.docx,323,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714574
2025-09-04,教研教改,福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14177.htm,附件1：福州大学2025级“嘉锡化学拔尖班”招生简章.doc,672,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714466
2025-09-04,教研教改,福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14177.htm,附件2：福州大学2025级“嘉锡化学拔尖班”选拔方案.doc,443,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714465
2025-09-02,教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14176.htm,附件2：福州大学2025级“数理金融实验班”选拔方案.doc,695,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714218
2025-09-02,教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14176.htm,附件1：福州大学2025级“数理金融实验班”招生简章.doc,881,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714580
2025-09-02,教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14176.htm,附件3：2025级数理金融实验班申请表.doc,329,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714220
2025-09-02,教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/info/1037/14176.htm,附件4：承诺书.doc,219,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714221
2025-08-29,电教中心,关于开展二期智慧教室、智慧实验室使用培训工作的通知,https://jwch.fzu.edu.cn/info/1041/14172.htm,无,,
2025-08-20,综合科,关于填报2024年度非学历教育发展数据的通知,https://jwch.fzu.edu.cn/info/1035/14171.htm,附件：2024年度福州大学非学历教育数据采集表-模板.xlsx,140,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16712478
2025-07-08,实践科,福州大学关于公布本科生开放探索性实验项目（课程）立项名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14152,无,,
2025-07-05,综合科,教务处关于2025年暑假工作安排的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=14151,无,,
2025-07-04,实践科,关于公布2023年、2024年本科生科研训练计划项目结题成绩的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14149,无,,
2025-07-02,实践科,关于公布2025年第二十五届数学竞赛获奖名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14147,无,,
2025-06-30,实践科,关于公布第十六届企业经营模拟沙盘对抗赛获奖名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14143,无,,
2025-06-30,实践科,关于公布2025年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14142,无,,
2025-06-30,教学运行,关于2025-2026学年第一学期辅修专业选课的通知,https://jwch.fzu.edu.cn/info/1036/14141.htm,无,,
2025-06-27,实践科,关于公布第十四届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14139,无,,
2025-06-24,实践科,福州大学关于公布2025届本科生优秀毕业设计（论文）名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14134,无,,
2025-06-24,实践科,福州大学关于公布大学生劳动教育实践基地立项名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14135,无,,
2025-06-24,实践科,福州大学关于公布示范性校外实践教学基地立项名单的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14133,无,,
2025-06-24,质量办,关于举办福州大学第七十二场“教学有道”暨数智课程建设与应用实操工作坊的通知,https://jwch.fzu.edu.cn/info/1040/14131.htm,无,,
2025-06-23,实践科,关于2025高教社杯全国大学生数学建模竞赛报名的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14128,无,,
2025-06-23,综合科,关于更改2024-2025学年春季学期期末本科教育教学工作会议地点的通知,https://jwch.fzu.edu.cn/info/1035/14127.htm,无,,
2025-06-21,教学运行,关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/info/1036/14126.htm,无,,
2025-06-20,教学运行,福州大学关于印发2025—2026学年校历的通知,https://jwch.fzu.edu.cn/info/1036/14125.htm,无,,
2025-06-19,综合科,关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,https://jwch.fzu.edu.cn/info/1035/14124.htm,教育部高等教育司关于开展人工智能综合能力提升培训工作的通知（6月30日前）.pdf,377,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486009
2025-06-19,综合科,关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,https://jwch.fzu.edu.cn/info/1035/14124.htm,（学院名称）——参加教育部人工智能综合能力提升培训工作情况 .xls,231,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486008
2025-06-19,计划科,关于核对2025-2026学年第一学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/info/1038/14123.htm,无,,
2025-06-18,教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》和《高等数学C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14121.htm,2402高数数学A中、B下、C下期末考-7.4上、下午.xlsx,328,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485393
2025-06-18,综合科,关于召开2024-2025学年春季学期期末本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/info/1035/14120.htm,无,,
2025-06-17,教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14117.htm,2402大学物理A（上）、B（上）、C期末考-7.3上、下午.xlsx,172,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485022
2025-06-17,教学运行,关于2024-2025学年第二学期《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14116.htm,2402大学英语三期末考-6.29上、下午.xlsx,303,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485009
2025-06-17,教学运行,关于2024-2025学年第二学期《英语专题》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14115.htm,2402专题英语期末考-6.28上、下午.xlsx,203,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485008
2025-06-16,教学运行,关于2025-2026学年第一学期本科生学期选课的通知,https://jwch.fzu.edu.cn/info/1036/14114.htm,无,,
2025-06-10,教学运行,关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14107.htm,2402大学英语四期末考-6.20上午.xlsx,202,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478613
2025-06-10,教学运行,关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14107.htm,2402大学英语二期末考-6.28下午.xlsx,228,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478612
2025-06-06,教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/info/1042/14105.htm,附件1.教育部办公厅关于组织申报2025年度教育部大中小学课程教材研究项目的通知.pdf,463,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477964
2025-06-06,教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/info/1042/14105.htm,附件2.教育部大中小学课程教材研究项目2025年度重大项目和重点项目选题指南.docx,181,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477965
2025-06-06,教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/info/1042/14105.htm,附件3.教育部大中小学课程教材研究项目2025年度申报书.docx,146,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477966
2025-06-06,教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,https://jwch.fzu.edu.cn/info/1042/14105.htm,附件4.2025年度教育部大中小学课程教材研究项目推荐汇总表.xlsx,124,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477967
2025-06-03,质量办,关于上报学院院级本科教育教学相关规章制度的通知,https://jwch.fzu.edu.cn/info/1040/14098.htm,无,,
2025-06-03,教学通知,关于上报学院院级本科教育教学相关规章制度的通知,https://jwch.fzu.edu.cn/info/1012/14097.htm,无,,
2025-06-03,教学运行,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14095.htm,2402德法随堂考.xlsx,219,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230472
2025-06-03,教学运行,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/14095.htm,2402马原随堂考.xlsx,284,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16230473
