Title,Holder,Date,附件,附件名,下载次数
关于2024-2025学年第一学期通识教育选修课选课的通知,计划科,2024/8/25,0,0,0
,,,,,
关于开学第一周集中听课的通知,质量办,2024/8/25,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903337,附件2：福州大学2024级“数智实验班”选拔方案.docx,1368
,,,,,
关于2024-2025学年第一学期学期选课补退选的通知,教学运行,2024/8/25,0,0,0
,,,,,
关于开展2024年工程教育认证研讨培训的通知,质量办,2024/8/2,0,0,0
,,,,,
福州大学关于印发《福州大学本科生转专业管理实施办法》的通知,教学运行,2024/8/1,0,0,0
,,,,,
关于转发《关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知》的通知,实践科,2024/7/10,0,0,0
,,,,,
关于公布第十三届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,实践科,2024/7/6,0,0,0
,,,,,
教务处关于2024年暑假用印安排的通知,综合科,2024/7/6,0,0,0
,,,,,
关于公布福州大学2024届本科生优秀毕业设计（论文）名单的通知,实践科,2024/7/6,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903271,附件1：福州大学2024级“数理综合班”招生简章.doc,1719
,,,,,
福州大学关于公布第八届 远志创业实验班学生名单的通知,教研教改,2024/7/1,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14903267,附件2：福州大学2024级“数理金融实验班”选拔方案.doc,1075
,,,,,
关于2024-2025学年第一学期辅修专业选课的通知,教学运行,2024/7/1,0,0,0
,,,,,
友情提示,综合科,2024/6/29,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901557,2024-2025学年第一学期国情课列表.docx,643
,,,,,
关于做好期末复习考试及下学期开学等工作的通知,教学运行,2024/6/26,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901547,超星尔雅使用手册（学生版）.pdf,1764
,,,,,
关于公布2024年第二十四届数学竞赛获奖名单的通知,实践科,2024/6/26,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901500,附件1：福州大学课堂教学质量评估表.doc,224
,,,,,
关于公布第十五届企业经营模拟沙盘对抗赛获奖名单的通知,实践科,2024/6/26,0,0,0
,,,,,
关于召开数字教材建设研讨会的通知,教材中心,2024/6/25,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14898472,附件1：关于组织2024年工程教育认证研讨培训的通告.docx,385
,,,,,
关于核对2024-2025学年第一学期通识教育选修课开课信息的有关通知,计划科,2024/6/25,0,0,0
,,,,,
关于转发福建省教育厅办公室《关于举办2024年本科高校课程思政骨干教师、研究生导师培训班的通知》的通知,教研教改,2024/6/21,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14895469,附件：关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知.pdf,1052
,,,,,
关于组织教师和学生参加人工智能赋能高等教育调查报告全国抽样调查问卷的通知,教研教改,2024/6/21,0,0,0
,,,,,
关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,教学运行,2024/6/21,0,0,0
,,,,,
关于2023-2024学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,教学运行,2024/6/20,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14638795,附件：福州大学2024届优秀本科生毕业设计（论文）名单.doc,2336
,,,,,
关于2023-2024学年第二学期《英语专题》课程期末考试安排的通知,教学运行,2024/6/20,0,0,0
,,,,,
关于2023-2024学年第二学期《工程制图A（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,教学运行,2024/6/19,0,0,0
,,,,,
关于2024-2025学年第一学期本科生学期选课的通知,教学运行,2024/6/17,0,0,0
,,,,,
关于2023-2024学年第二学期《大学英语（三）》课程期末考试安排的通知,教学运行,2024/6/17,0,0,0
,,,,,
关于转发组织申报福建省高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知,实践科,2024/6/14,0,0,0
,,,,,
关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,教学运行,2024/6/12,0,0,0
,,,,,
关于转发《关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知》的通知,实践科,2024/6/11,0,0,0
,,,,,
关于公布第三十期本科生科研训练计划立项项目的通知,实践科,2024/6/7,0,0,0
,,,,,
关于组织申报福建省新文科教育研究中心第二批高校新文科建设优秀案例的通知,教研教改,2024/6/5,0,0,0
,,,,,
福州大学关于公布2022级数理综合班 专业分流学生名单及学科导师名单的通知,教研教改,2024/6/5,0,0,0
,,,,,
福州大学关于公布2022级数理金融 实验班学生主辅修专业及导师名单的通知,教研教改,2024/6/5,0,0,0
,,,,,
关于2024-2025学年第一学期修读辅修专业学生名单的公示,计划科,2024/6/5,0,0,0
,,,,,
关于举办福州大学第五十三场“教学有道” 研讨活动的通知,质量办,2024/6/5,0,0,0
,,,,,
关于做好2024-2025学年第一学期教材选用及征订工作的通知（更新）,教材中心,2024/6/4,0,0,0
,,,,,
关于2023-2024学年第二学期《马克思主义基本原理》课程期末考试安排的通知,教学运行,2024/6/4,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14625019,2302 大学物理A（上）、B（上）、C课期末考7.4.xlsx,465
,,,,,
关于2023-2024学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,教学运行,2024/6/4,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624676,2302 大学英语（二）、大学英语（四）课程期末考6.22上午.xlsx,388
,,,,,
福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,教学通知,2024/5/30,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624645,2302 英语专题课期末考6.29.xlsx,445
,,,,,
关于2024年端午放假课程调整的通知,教学运行,2024/5/30,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624501,2302 工程制图A（下）、D、F期末考6.30上午.xlsx,371
,,,,,
关于2023-2024学年第二学期《工程制图（C）》课程期末考试安排的通知,教学运行,2024/5/29,0,0,0
,,,,,
关于2023-2024学年第二学期《思想道德与法治》课程期末考试安排的通知,教学运行,2024/5/29,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623875,2302 大学英语（三）期末考 6.23上午.xlsx,449
,,,,,
