               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.028174,            0.025184,           0.0084399,             0.65251,             0.66725,             0.68146,             0.47383,            0.031221,            0.016367,            0.010393,           0.0022196,           0.0022196,           0.0022196
                  78,            0.027871,            0.024914,           0.0079819,             0.65841,             0.66461,             0.68195,             0.47454,            0.031224,            0.016372,            0.010401,           0.0021245,           0.0021245,           0.0021245
                  79,            0.027854,            0.024732,           0.0079986,             0.66007,             0.66495,             0.68189,             0.47529,            0.031226,            0.016375,            0.010408,           0.0020327,           0.0020327,           0.0020327
                  80,             0.02753,            0.024539,           0.0080947,             0.65963,             0.66673,             0.68267,             0.47555,            0.031224,            0.016373,            0.010403,           0.0019443,           0.0019443,           0.0019443
                  81,            0.027382,            0.024476,           0.0077466,             0.66618,             0.66107,             0.68292,             0.47649,            0.031227,            0.016381,            0.010406,           0.0018594,           0.0018594,           0.0018594
                  82,            0.027112,            0.024265,           0.0075537,             0.67701,             0.65251,             0.68369,             0.47727,            0.031229,            0.016386,            0.010406,           0.0017781,           0.0017781,           0.0017781
                  83,            0.027012,            0.024313,            0.007923,             0.68183,                0.65,             0.68373,             0.47769,            0.031229,            0.016391,            0.010407,           0.0017005,           0.0017005,           0.0017005
                  84,            0.026701,            0.024057,           0.0077102,             0.67966,             0.65177,              0.6844,             0.47832,            0.031241,            0.016398,            0.010406,           0.0016267,           0.0016267,           0.0016267
                  85,            0.026458,            0.023789,           0.0074442,             0.66856,             0.66267,             0.68481,             0.47878,            0.031249,            0.016401,            0.010408,           0.0015566,           0.0015566,           0.0015566
                  86,             0.02625,            0.023981,           0.0073985,             0.66881,             0.66438,             0.68494,             0.47947,            0.031253,            0.016405,            0.010405,           0.0014905,           0.0014905,           0.0014905
                  87,            0.026419,             0.02374,           0.0073566,              0.6716,             0.66212,             0.68527,             0.47995,            0.031258,            0.016412,            0.010394,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026093,            0.023907,           0.0070143,             0.69973,             0.63795,             0.68582,             0.47983,            0.031264,            0.016416,            0.010393,           0.0013701,           0.0013701,           0.0013701
                  89,            0.026064,              0.0234,           0.0071025,             0.70294,             0.63722,             0.68599,             0.48069,            0.031269,            0.016422,            0.010396,            0.001316,            0.001316,            0.001316
                  90,            0.025753,            0.023458,           0.0070974,             0.70559,             0.63513,             0.68595,             0.48099,             0.03128,            0.016428,            0.010399,            0.001266,            0.001266,            0.001266
                  91,            0.025749,            0.023325,           0.0070385,             0.70869,             0.63434,             0.68651,             0.48164,            0.031288,             0.01643,            0.010395,           0.0012202,           0.0012202,           0.0012202
                  92,            0.025652,            0.023088,           0.0067955,             0.70985,             0.63336,             0.68664,             0.48188,            0.031298,             0.01644,            0.010399,           0.0011787,           0.0011787,           0.0011787
                  93,            0.025555,            0.022922,           0.0067266,              0.7081,             0.63533,             0.68693,             0.48213,            0.031308,            0.016444,            0.010402,           0.0011414,           0.0011414,           0.0011414
                  94,            0.025257,            0.022666,           0.0068324,              0.7097,             0.63481,             0.68779,              0.4827,            0.031315,            0.016455,            0.010403,           0.0011084,           0.0011084,           0.0011084
                  95,            0.025285,            0.022846,           0.0068779,             0.69309,             0.64956,             0.68819,             0.48328,            0.031325,            0.016463,            0.010406,           0.0010797,           0.0010797,           0.0010797
                  96,            0.024967,            0.022694,           0.0068464,             0.69006,             0.65401,              0.6887,             0.48355,            0.031333,            0.016468,            0.010408,           0.0010554,           0.0010554,           0.0010554
                  97,            0.025062,            0.022543,           0.0065421,             0.69446,             0.65216,             0.68911,             0.48398,             0.03134,            0.016474,            0.010405,           0.0010355,           0.0010355,           0.0010355
                  98,            0.024733,             0.02249,           0.0065301,             0.69322,             0.65292,             0.68931,             0.48465,             0.03135,            0.016481,            0.010407,             0.00102,             0.00102,             0.00102
                  99,            0.024906,            0.022396,           0.0065697,              0.6929,             0.65253,             0.68984,             0.48531,            0.031357,            0.016494,            0.010411,           0.0010089,           0.0010089,           0.0010089
