附件名,附件链接,下载次数,通知部门
闽工信联软件〔2023〕31号关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13048683,706,实践科
附件1：福州大学校外实习教学基地一览表（2022年9月）.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13045827,1403,实践科
附件2：福州大学大学生校外实践教学基地检查评估表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13045826,894,实践科
附件3：福州大学大学生校外实践教学基地检查评估汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13045825,848,实践科
附件：福州大学2023届优秀本科生毕业设计（论文）名单.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13037663,2953,实践科
附件：2023高教社杯全国大学生数学建模竞赛福州大学队伍的报名操作流程.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13031762,5647,实践科
2023年国家级、省级大学生创新创业训练计划推荐项目汇总表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13002268,4330,实践科
福州大学第29期本科生科研训练计划立项项目汇总表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13002269,3538,实践科
附件3：2023年福州大学大学生工程实践与创新能力大赛命题与运行.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12999431,1236,实践科
福州大学本科生创新创业实践与素质拓展学分申报汇总表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12993329,2841,实践科
srtp项目结题附件.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12989484,2363,实践科
国创省创结题附件.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12989479,1257,实践科
3附件2：2023届福州大学本科毕业设计（论文）抽检情况汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218055,3193,实践科
3附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218054,2420,实践科
2附件：维普论文检测系统查重标准及格式报告说明.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218050,6626,实践科
1附件：福州大学本科毕业设计（论文）管理模块操作指南.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12218049,2137,实践科
附件3：福州大学第二十三届数学竞赛大纲.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12214628,1552,实践科
附件1：2023年（第16届）4C大赛通知（中大计赛函[2023]1号）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212463,1156,实践科
附件2：2023年计算机设计大赛省级赛公告.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212465,1405,实践科
附件3 2023年（第16届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212464,1044,实践科
附件2：福州大学第三届大学生先进成图技术与产品信息建模创新大赛报名表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12212445,986,实践科
附件：福州大学第十四届企业经营模拟沙盘对抗赛报名表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12210538,882,实践科
附件1：福建省高校大学生学科专业竞赛管理办法（试行）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11995879,1116,实践科
附件2：福建省高校大学生学科专业竞赛项目申请表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11995878,1115,实践科
闽教规〔2023〕2号福建省教育厅关于印发《福建省高校大学生学科专业竞赛管理办法（试行）》的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11994703,1518,实践科
附件2 ：福州大学第九届“汇仟杯”测量大赛竞赛细则.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990523,1065,实践科
附件3：福州大学第九届“汇仟杯”测量大赛报名表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990524,1098,实践科
附件4：路线参考.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990522,778,实践科
附件5：比赛记录表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990525,875,实践科
