通知人,标题,日期,详情链接,下载量1,附件1,附件链接1,下载量2,附件2,附件链接2,下载量3,附件3,附件链接3,下载量4,附件4,附件链接4,下载量5,附件5,附件链接5,下载量6,附件6,附件链接6,下载量7,附件7,附件链接7,下载量8,附件8,附件链接8,下载量9,附件9,附件链接9
教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,2024-05-30,https://jwch.fzu.edu.cn/info/1012/13538.htm,747,附件4：推荐委员信息一览表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619035,592,附件2：专家推荐信息表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619038,491,附件1：教育部办公厅关于推荐新一届教指委委员的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619036,484,附件3：推荐委员汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619037,,,,,,,,,,,,,,,
教学运行,关于2024年端午放假课程调整的通知,2024-05-30,https://jwch.fzu.edu.cn/info/1036/13536.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《工程制图（C）》课程期末考试安排的通知,2024-05-29,https://jwch.fzu.edu.cn/info/1036/13533.htm,612,2302 工程制图C（下）期末考试 6.16下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618057,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《思想道德与法治》课程期末考试安排的通知,2024-05-29,https://jwch.fzu.edu.cn/info/1036/13532.htm,665,2302 德法 期末考.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618055,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程期末考试安排的通知,2024-05-27,https://jwch.fzu.edu.cn/info/1036/13531.htm,683,2302 概率期末考 6.2下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14615348,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《中国近现代史纲要》课程期末考试安排的通知,2024-05-24,https://jwch.fzu.edu.cn/info/1036/13530.htm,843,2302 近现代 期末考试.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613665,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《线性代数》课程期末考试安排的通知,2024-05-24,https://jwch.fzu.edu.cn/info/1036/13529.htm,701,2302 线性代数期末考 6.2下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613663,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于公布2024年本科生创新创业实践与素质拓展学分认定结果的通知,2024-05-22,https://jwch.fzu.edu.cn/info/1039/13525.htm,2743,附件：福州大学本科生创新创业实践与素质拓展学分认定汇总表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613260,,,,,,,,,,,,,,,,,,,,,,,,
教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,2024-05-22,https://jwch.fzu.edu.cn/info/1037/13524.htm,755,附件1：福建省教育厅办公室关于开展高校优秀拔尖创新人才培养案例研究工作的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613252,632,附件2：案例撰写格式.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613251,618,附件4：案例汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613254,575,附件3：案例申报表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613253,,,,,,,,,,,,,,,
教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,2024-05-17,https://jwch.fzu.edu.cn/info/1037/13513.htm,1565,附件1：福州大学第八届远志创业实验班招生简章.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612014,848,附件2：远志创业实验班修读申请表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612015,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2024-05-15,https://jwch.fzu.edu.cn/info/1036/13501.htm,810,2302习概论期末考试.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611555,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2025届预计毕业生核对电子注册学历信息的通知,2024-05-15,https://jwch.fzu.edu.cn/info/1036/13497.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,2024-05-15,https://jwch.fzu.edu.cn/info/1036/13491.htm,839,2302计算机语言课期末考试6.1.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611191,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于公布第十届桥梁设计大赛获奖名单的通知,2024-05-11,https://jwch.fzu.edu.cn/info/1039/13481.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,2024-05-10,https://jwch.fzu.edu.cn/info/1039/13479.htm,1303,国创省创结题附件.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14608195,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,2024-05-10,https://jwch.fzu.edu.cn/info/1039/13478.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教材中心,关于举办福州大学第五十二场“教学有道” 研讨活动的通知,2024-05-09,https://jwch.fzu.edu.cn/info/1042/13477.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2024-05-08,https://jwch.fzu.edu.cn/info/1035/13475.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
计划科,2023-2024学年第二学期在校学生申请辅修专业的通知,2024-05-07,https://jwch.fzu.edu.cn/info/1038/13473.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于组织申报2024-2025学年第一学期通识教育选修课的通知,2024-05-06,https://jwch.fzu.edu.cn/info/1038/13472.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2024-04-30,https://jwch.fzu.edu.cn/info/1039/13470.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,2024-04-30,https://jwch.fzu.edu.cn/info/1039/13469.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn/info/1042/13417.htm,852,附件1：福州大学教材管理实施细则（试行）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620223,660,附件2：福州大学本科教材编写人员汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620221,509,附件3：福州大学本科教材编写人员审核表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918142,626,附件4：福州大学本科教材校外编写人员审核表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620634,726,附件5：福州大学本科教材编写审核表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620225,646,附件6：2024年福州大学拟出版教材汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620226,,,,,,,,,
实践科,关于对2024届本科毕业设计（论文）试行AIGC检测的通知,2024-04-28,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13415,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《工程制图E》课程期末考试安排的通知,2024-04-28,https://jwch.fzu.edu.cn/info/1036/13414.htm,709,2302 工程制图E期末考试 5.12上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604454,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于公布福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛获奖名单的通知,2024-04-26,https://jwch.fzu.edu.cn/info/1039/13413.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,2024-04-26,https://jwch.fzu.edu.cn/info/1039/13411.htm,3220,附件2：2024届福州大学本科毕业设计（论文）抽检情况汇总表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604109,2668,附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604108,,,,,,,,,,,,,,,,,,,,,
质量办,关于举办福州大学第五十一场“教学有道” 研讨活动的通知,2024-04-26,https://jwch.fzu.edu.cn/info/1040/13410.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2024年五一劳动节放假课程调整的通知,2024-04-26,https://jwch.fzu.edu.cn/info/1036/13409.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
质量办,关于举办福州大学第五十场“教学有道” 研讨活动的通知,2024-04-24,https://jwch.fzu.edu.cn/info/1040/13408.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024-02学期体育理论课安排的通知,2024-04-24,https://jwch.fzu.edu.cn/info/1036/13406.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办2024年福州大学第二十四届数学竞赛的通知,2024-04-23,https://jwch.fzu.edu.cn/info/1039/13405.htm,2789,附件3：福州大学第二十四届数学竞赛大纲.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14602578,,,,,,,,,,,,,,,,,,,,,,,,
实践科,福州大学关于公布第八届网络信息安全竞赛获奖名单的通知,2024-04-22,https://jwch.fzu.edu.cn/info/1039/13403.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第六届大学生机器人竞赛的通知,2024-04-19,https://jwch.fzu.edu.cn/info/1039/13397.htm,758,附件.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14601554,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第十八届数学建模竞赛的通知,2024-04-19,https://jwch.fzu.edu.cn/info/1039/13396.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第二十一届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2024-04-17,https://jwch.fzu.edu.cn/info/1039/13391.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
质量办,关于举办福州大学第四十九场“教学有道”研讨活动的通知,2024-04-17,https://jwch.fzu.edu.cn/info/1040/13390.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于第61届中国高等教育博览会的参会指南,2024-04-12,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13378,,,,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于召开2024版本科人才培养方案修订工作专题会议的通知,2024-04-11,https://jwch.fzu.edu.cn/info/1038/13379.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于对2024届本科毕业设计（论文）进行查重检测的通知,2024-04-10,https://jwch.fzu.edu.cn/info/1039/13375.htm,8302,附件：维普论文检测系统查重标准及格式报告说明.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592996,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,2024-04-10,https://jwch.fzu.edu.cn/info/1036/13374.htm,926,附件2：获得图像采集码途径.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592958,727,附件1：行政北楼平面图.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592957,,,,,,,,,,,,,,,,,,,,,
质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,2024-04-08,https://jwch.fzu.edu.cn/info/1040/13353.htm,932,附件1：2023年福州大学新上岗教师教学达标培训班名单汇总表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592375,706,附件2：2023年新上岗教师课堂授课达标考核情况汇总表-学院一式三份报教务处.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592376,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn/info/1036/13352.htm,822,2302线代半期考4.27上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591952,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn/info/1036/13351.htm,831,2302大物半期考4.21下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591958,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn/info/1036/13349.htm,718,2302概率半期考4.14下午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591439,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn/info/1036/13348.htm,952,2302高数半期考4.14上午.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591438,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于组织教师参加第61届中国高等教育博览会的通知,2024-04-02,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13347,462,附件4：参会教师名单收集汇总表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590885,431,附件2：高博会日程总览.jpg,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590884,370,附件3：报名二维码.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590883,445,附件1：各单位选派教师参会名额安排表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590882,,,,,,,,,,,,,,,
教学运行,关于2024年清明节放假课程调整的通知,2024-04-01,https://jwch.fzu.edu.cn/info/1036/13343.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第十五届企业经营模拟沙盘对抗赛的通知,2024-03-27,https://jwch.fzu.edu.cn/info/1039/13335.htm,1001,附件：福州大学第十五届企业经营模拟沙盘对抗赛报名表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589204,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于组织开展第十七届中国大学生计算机设计大赛福州大学校内预选赛的通知,2024-03-27,https://jwch.fzu.edu.cn/info/1039/13334.htm,892,附件2 2024年（第17届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589111,1217,附件1：中大计赛函[2024]1 号 关于举办“2024 年（第 17 届）中国大学生计算机设计大赛”的 通 知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589112,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第四届大学生先进成图技术与产品信息建模创新大赛的通知,2024-03-27,https://jwch.fzu.edu.cn/info/1039/13333.htm,875,附件2：福州大学第四届大学生先进成图技术与产品信息建模创新大赛报名表.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589086,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛的通知,2024-03-22,https://jwch.fzu.edu.cn/info/1039/13331.htm,846,附件1-4.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14587055,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第八届网络信息安全竞赛的通知,2024-03-21,https://jwch.fzu.edu.cn/info/1039/13329.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于做好2024-2025学年第一学期排课准备工作的通知,2024-03-18,https://jwch.fzu.edu.cn/info/1036/13322.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知,2024-03-14,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13313,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于举办福州大学第十三届大学生软件设计与服务外包创新创业竞赛的通知,2024-03-13,https://jwch.fzu.edu.cn/info/1039/13312.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,2024-03-13,https://jwch.fzu.edu.cn/info/1038/13310.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于召开2023-2024学年春季学期期初本科教育教学工作会议的通知,2024-03-13,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13309,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于转发《关于邀请省内高校大学生参与2024数字中国创新大赛的函》的通知,2024-03-12,https://jwch.fzu.edu.cn/info/1039/13308.htm,1300,附件：数字中国建设峰会组委会秘书处关于商请邀请省内高校学生参与2024数字中国创新大赛的函.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14583438,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024学年第二学期重新学习选课、缴费的通知,2024-03-11,https://jwch.fzu.edu.cn/info/1036/13306.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于2023-2024学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2024-03-11,https://jwch.fzu.edu.cn/info/1038/13305.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
质量办,关于组织教师参加第四届福建省教师教学创新大赛产教融合赛道的通知,2024-03-06,https://jwch.fzu.edu.cn/info/1040/13301.htm,746,附件2 福州大学教师教学创新大赛产教融合赛道 学院推荐名单汇总表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581598,1441,附件1 关于举办第第四届全国高校教师教学创新大赛产教融合赛道赛事的通知.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581597,,,,,,,,,,,,,,,,,,,,,
实践科,关于参加2024年（第十届）全国大学生统计建模大赛的通知,2024-03-05,https://jwch.fzu.edu.cn/info/1039/13296.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于做好第三十期本科生科研训练计划项目立项申报工作的通知,2024-03-05,https://jwch.fzu.edu.cn/info/1039/13294.htm,3916,第30期SRTP附件.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581442,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于公布2023-2024学年第二学期通选课取消开课名单的通知,2024-03-04,https://jwch.fzu.edu.cn/info/1038/13293.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
综合科,关于2023-2024学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2024-02-29,https://jwch.fzu.edu.cn/info/1035/13280.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学运行,关于做好2024年3月退役复学学生转专业的通知,2024-02-27,https://jwch.fzu.edu.cn/info/1036/13284.htm,728,福州大学参军退伍复学后学生转专业审批表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580283,966,福州大学本科生转专业管理实施办法（暂行）.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580282,,,,,,,,,,,,,,,,,,,,,
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,2024-02-27,https://jwch.fzu.edu.cn/info/1038/13283.htm,2887,附件1国际化拔尖创新人才科研训练具体课程清单.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580133,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于2024届本科毕业生创新创业实践与素质拓展学分认定工作的通知,2024-02-26,https://jwch.fzu.edu.cn/info/1039/13281.htm,2656,福州大学本科生创新创业实践与素质拓展学分申报汇总表、申请表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579917,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于2023-2024学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2024-02-25,https://jwch.fzu.edu.cn/info/1038/13279.htm,1135,2023-2024学年第二学期国情课列表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579883,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于对2023年学院教学有关数据进行统计的通知,2024-02-25,https://jwch.fzu.edu.cn/info/1039/13278.htm,1003,2023年学院教学有关数据统计表格下载.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579832,,,,,,,,,,,,,,,,,,,,,,,,
计划科,关于2023-2024学年第二学期通识教育选修课选课的通知,2024-02-25,https://jwch.fzu.edu.cn/info/1038/13277.htm,2609,超星尔雅使用手册（学生版）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579829,742,24春夏智慧树学生手册更新（可导学用）最新E(2).pptx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14583720,2548,慕课堂学生操作手册.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579831,,,,,,,,,,,,,,,,,,
质量办,关于开学第一周集中听课的通知,2024-02-25,https://jwch.fzu.edu.cn/info/1040/13276.htm,630,附件1：福州大学课堂教学质量评估表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579817,678,附件2：2023-2024学年第二学期第一周课表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579818,563,附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579819,,,,,,,,,,,,,,,,,,
教学运行,关于2023-2024第二学期学期选课、辅修选课补退选的通知,2024-02-25,https://jwch.fzu.edu.cn/info/1036/13275.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
实践科,关于推荐申报实验教学和教学实验室建设研究项目的通知,2024-02-06,https://jwch.fzu.edu.cn/info/1039/13272.htm,956,附件1：实验教学和教学实验室建设研究项目申报书.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578976,853,附件2：实验教学和教学实验室建设研究项目推荐汇总表（福建省）.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578975,1006,附件3：教高司函〔2024〕1号教育部高等教育司关于开展实验教学和教学实验室建设研究工作的通知（3月29日前）.pdf,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578977,,,,,,,,,,,,,,,,,,
教学运行,关于2024年春季学期《大学物理实验》绪论课程教室安排的通知,2024-01-20,https://jwch.fzu.edu.cn/info/1036/13254.htm,1145,2024大物实验（上）绪论排课.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14576449,,,,,,,,,,,,,,,,,,,,,,,,
综合科,教务处关于2024年寒假用印安排的通知,2024-01-20,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13252,,,,,,,,,,,,,,,,,,,,,,,,,,,
