,通知人,标题,日期,详细链接,附件
16,教学运行,关于做好2025-2026学年第二学期排课准备工作的通知,2025-09-22,https://jwch.fzu.edu.cn//info/1036/14225.htm,[]
17,教学运行,关于2025-2026学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2025-11-24,https://jwch.fzu.edu.cn/info/1036/14373.htm,"[{'附件名': '【2501高等数学A（上）、B（上）、C（上）、D半期考11.30上午.xlsx', '下载词数': 965, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735966'}]"
18,计划科,关于2025-2026学年第一学期爱课程平台参加通识教育选修课学习的重要提示,2025-09-18,https://jwch.fzu.edu.cn//info/1038/14219.htm,[]
19,教学运行,关于2025-2026学年第一学期《高等数学A（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14281.htm,"[{'附件名': '【2501高等数学A（下）半期考11.2上午.xlsx', '下载词数': 250, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728461'}]"
20,教研教改,关于2025级“数智实验班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn//info/1037/14206.htm,[]
21,教研教改,关于2025级“数理综合班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn//info/1037/14205.htm,[]
22,计划科,关于公布2025-2026学年第一学期通选课取消开课名单的通知,2025-09-15,https://jwch.fzu.edu.cn//info/1038/14213.htm,[]
23,教学运行,关于2025-2026学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2025-10-29,https://jwch.fzu.edu.cn/info/1036/14283.htm,"[{'附件名': '【2501大物A（下）、B（下）半期考11.9上午.xlsx', '下载词数': 321, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728534'}]"
24,教学运行,关于公布2025-2026学年各学院转专业实施细则的通知,2025-11-14,https://jwch.fzu.edu.cn/info/1036/14352.htm,"[{'附件名': '【2025-2026学年各学院转专业实施细则.pdf', '下载词数': 4657, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16732856'}]"
25,教学运行,关于2025-2026学年第一学期《概率论与数理统计》课程半期考试安排的通知,2025-11-04,https://jwch.fzu.edu.cn/info/1036/14315.htm,"[{'附件名': '【2501概率论半期考11.16下午.xlsx', '下载词数': 224, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16729972'}]"
26,实践科,关于做好2025年本科生科研训练计划项目中期检查工作的通知,2025-11-10,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14321,"[{'附件名': '【附件.rar', '下载词数': 795, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16731411'}]"
27,教研教改,关于2025级“数理金融实验班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn//info/1037/14203.htm,[]
28,教研教改,关于2025级“嘉锡化学拔尖班”入选学生名单的公示,2025-09-12,https://jwch.fzu.edu.cn//info/1037/14204.htm,[]
29,教研教改,关于公布参加2025级“数理综合班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn//info/1037/14198.htm,[]
30,教研教改,关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn//info/1037/14197.htm,[]
31,教研教改,关于公布参加2025级“数智实验班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn//info/1037/14201.htm,[]
32,教学运行,关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,2025-09-07,https://jwch.fzu.edu.cn//info/1036/14191.htm,[]
33,质量办,关于为2025年新上岗教师配备导师的通知,2025-10-21,https://jwch.fzu.edu.cn//info/1040/14264.htm,"[{'附件名': '【2025年福州大学新上岗教师达标培训班名单（配导师）.xlsx', '下载词数': 548, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16726268'}]"
34,教研教改,关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,2025-09-10,https://jwch.fzu.edu.cn//info/1037/14196.htm,[]
35,综合科,关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,2025-09-07,https://jwch.fzu.edu.cn//info/1035/14190.htm,[]
36,教学通知,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn/info/1012/14194.htm,"[{'附件名': '【福州大学本科生转专业管理实施办法.docx', '下载词数': 273, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630'}, {'附件名': '【福州大学参军退伍复学后学生转专业审批表.doc', '下载词数': 163, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625'}]"
37,教材中心,关于做好2025-2026学年第一学期本科课程实施与教材使用监测工作的通知,2025-11-12,https://jwch.fzu.edu.cn/info/1042/14342.htm,"[{'附件名': '【附件1.关于开展2025-2026学年高校课程实施与教材使用监测工作的通知.pdf', '下载词数': 44, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735375'}, {'附件名': '【附件2.2025-2026学年上下学期教材使用工作报告（示例）.docx', '下载词数': 23, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16735376'}]"
38,综合科,关于2025级本科生（含访学学生）学生证信息采集的通知,2025-09-07,https://jwch.fzu.edu.cn//info/1035/14186.htm,[]
39,计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025秋》宣讲会及选课的通知,2025-09-19,https://jwch.fzu.edu.cn//info/1038/14220.htm,"[{'附件名': '【2025年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx', '下载词数': 1217, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16719456'}]"
40,计划科,关于2025-2026学年第一学期参加《大学生国家安全教育》课程学习的通知,2025-09-22,https://jwch.fzu.edu.cn//info/1038/14223.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf', '下载词数': 3026, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720002'}]"
41,电教中心,关于开展二期智慧教室、智慧实验室使用培训工作的通知,2025-08-29,https://jwch.fzu.edu.cn//info/1041/14172.htm,[]
42,质量办,关于开展福州大学2025年教师教学创新大赛的通知,2025-09-12,https://jwch.fzu.edu.cn//info/1040/14202.htm,"[{'附件名': '【附件1-5.zip', '下载词数': 208, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16717599'}]"
43,教学运行,关于2025-2026学年第一学期辅修专业选课的通知,2025-06-30,https://jwch.fzu.edu.cn//info/1036/14141.htm,[]
44,质量办,关于开展2025年秋季学期申请类督导听课工作的通知,2025-09-06,https://jwch.fzu.edu.cn//info/1040/14187.htm,"[{'附件名': '【附件：2025年秋季学期申请类督导听课汇总表.docx', '下载词数': 88, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714968'}]"
45,教学运行,关于做好2026届预计毕业生电子注册图像采集工作的通知,2025-10-30,https://jwch.fzu.edu.cn/info/1036/14284.htm,"[{'附件名': '【附件3：获得图像采集码途径.pdf', '下载词数': 2562, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728635'}, {'附件名': '【附件1：拍照地点示意图.pdf', '下载词数': 1463, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728636'}, {'附件名': '【附件2：各学院分班拍摄顺序.pdf', '下载词数': 2053, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16728634'}]"
46,质量办,关于举办福州大学第七十二场“教学有道”暨数智课程建设与应用实操工作坊的通知,2025-06-24,https://jwch.fzu.edu.cn//info/1040/14131.htm,[]
47,教学运行,关于做好2025年9月退役复学学生转专业的通知,2025-09-10,https://jwch.fzu.edu.cn//info/1036/14199.htm,"[{'附件名': '【福州大学本科生转专业管理实施办法.docx', '下载词数': 273, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630'}, {'附件名': '【福州大学参军退伍复学后学生转专业审批表.doc', '下载词数': 163, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625'}]"
48,实践科,关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,2025-09-23,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,"[{'附件名': '【附件1：2025年福州大学大学生工程实践与创新能力大赛组委会成员名单.docx', '下载词数': 110, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720642'}, {'附件名': '【附件2：2025年福州大学大学生工程实践与创新能力大赛报名表.docx', '下载词数': 141, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720643'}, {'附件名': '【附件3：2025年福州大学大学生工程实践与创新能力大赛命题与运行.docx', '下载词数': 336, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720644'}]"
49,综合科,关于更改2024-2025学年春季学期期末本科教育教学工作会议地点的通知,2025-06-23,https://jwch.fzu.edu.cn//info/1035/14127.htm,[]
50,实践科,关于开展大学生劳动教育优秀案例征集活动的通知,2025-09-16,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216,"[{'附件名': '【2021-2025年福州大学大学生劳动教育实践基地立项建设名单.docx', '下载词数': 26, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718938'}, {'附件名': '【附件：福州大学大学生劳动教育优秀案例征集汇总表.docx', '下载词数': 27, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718678'}]"
51,综合科,关于填报2024年度非学历教育发展数据的通知,2025-08-20,https://jwch.fzu.edu.cn//info/1035/14171.htm,"[{'附件名': '【附件：2024年度福州大学非学历教育数据采集表-模板.xlsx', '下载词数': 148, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16712478'}]"
52,实践科,关于做好大学生学科竞赛项目认定工作的通知,2025-11-05,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14316,"[{'附件名': '【附件1：《2023全国普通高校大学生竞赛分析报告》竞赛目录（本科部分）.docx', '下载词数': 347, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730698'}, {'附件名': '【附件2：福州大学大学生学科竞赛级别直接认定项目近三年参赛及获奖情况表.doc', '下载词数': 320, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730232'}, {'附件名': '【附件3：福州大学大学生学科竞赛级别认定申请表.doc', '下载词数': 194, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730231'}, {'附件名': '【附件4：福州大学大学生学科竞赛级别认定申请汇总表.doc', '下载词数': 196, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16730233'}]"
53,计划科,关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2025-09-06,https://jwch.fzu.edu.cn//info/1038/14185.htm,"[{'附件名': '【2025-2026学年第一学期国情课列表.docx', '下载词数': 572, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714904'}, {'附件名': '【港澳台侨学生思政课和军事课程退选申请表.docx', '下载词数': 609, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714905'}]"
54,教学运行,关于做好期末复习考试及下学期开学等工作的通知,2025-06-21,https://jwch.fzu.edu.cn//info/1036/14126.htm,[]
55,实践科,关于2025高教社杯全国大学生数学建模竞赛报名的通知,2025-06-23,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14128,[]
56,实践科,福州大学关于公布示范性校外实践教学基地立项名单的通知,2025-06-24,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14133,[]
57,教学运行,福州大学关于印发2025—2026学年校历的通知,2025-06-20,https://jwch.fzu.edu.cn//info/1036/14125.htm,[]
58,实践科,福州大学关于公布大学生劳动教育实践基地立项名单的通知,2025-06-24,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14135,[]
59,实践科,关于公布第十四届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,2025-06-27,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14139,[]
60,实践科,福州大学关于公布本科生开放探索性实验项目（课程）立项名单的通知,2025-07-08,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14152,[]
61,教材中心,关于2025-2026学年第一学期教材发放的通知,2025-09-05,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14182,[]
62,实践科,关于公布第十六届企业经营模拟沙盘对抗赛获奖名单的通知,2025-06-30,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14143,[]
63,实践科,关于公布2025年第二十五届数学竞赛获奖名单的通知,2025-07-02,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14147,[]
64,计划科,关于核对2025-2026学年第一学期通识教育选修课开课信息的有关通知,2025-06-19,https://jwch.fzu.edu.cn//info/1038/14123.htm,[]
65,综合科,关于召开2024-2025学年春季学期期末本科教育教学工作会议的通知,2025-06-18,https://jwch.fzu.edu.cn//info/1035/14120.htm,[]
66,教研教改,福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,2025-09-04,https://jwch.fzu.edu.cn//info/1037/14177.htm,"[{'附件名': '【附件1：福州大学2025级“嘉锡化学拔尖班”招生简章.doc', '下载词数': 679, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714466'}, {'附件名': '【附件2：福州大学2025级“嘉锡化学拔尖班”选拔方案.doc', '下载词数': 448, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714465'}]"
67,教研教改,福州大学关于开展2025级“数理综合班”招生工作的通知,2025-09-05,https://jwch.fzu.edu.cn//info/1037/14181.htm,"[{'附件名': '【附件1：福州大学2025级“数理综合班”招生简章.doc', '下载词数': 1737, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714578'}, {'附件名': '【附件2：承诺书.doc', '下载词数': 435, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714579'}]"
68,质量办,关于开展2025年工程教育专业认证申请工作的通知,2025-09-06,https://jwch.fzu.edu.cn//info/1040/14188.htm,"[{'附件名': '【附件3 工程教育认证申请书（2025版）修订说明.pdf', '下载词数': 447, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714969'}, {'附件名': '【附件2 工程教育认证申请书（2025版）.docx', '下载词数': 122, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714970'}, {'附件名': '【附件1 2025年接受认证申请的专业领域及专业一览表.pdf', '下载词数': 456, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714971'}]"
69,实践科,福州大学关于公布2025届本科生优秀毕业设计（论文）名单的通知,2025-06-24,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14134,"[{'附件名': '【附件：福州大学2025届本科生优秀毕业设计（论文）名单.docx', '下载词数': 1384, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16487801'}]"
70,教学运行,关于2025-2026学年第一学期本科生学期选课的通知,2025-06-16,https://jwch.fzu.edu.cn//info/1036/14114.htm,[]
71,综合科,教务处关于2025年暑假工作安排的通知,2025-07-05,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=14151,"[{'附件名': '【教务处2025年暑假值班表.xlsx', '下载词数': 355, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16681320'}]"
72,质量办,关于上报学院院级本科教育教学相关规章制度的通知,2025-06-03,https://jwch.fzu.edu.cn//info/1040/14098.htm,[]
73,教学通知,关于上报学院院级本科教育教学相关规章制度的通知,2025-06-03,https://jwch.fzu.edu.cn//info/1012/14097.htm,[]
74,质量办,关于举办福州大学第七十一场“教学有道”研讨活动的通知,2025-05-29,https://jwch.fzu.edu.cn//info/1040/14090.htm,[]
75,实践科,关于公布第十一届桥梁设计大赛获奖名单的通知,2025-05-30,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14092,[]
76,实践科,关于公布2025年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,2025-06-30,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14142,"[{'附件名': '【附件：2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单.docx', '下载词数': 350, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16489152'}]"
77,实践科,关于公布第九届网络信息安全竞赛获奖名单的通知,2025-05-30,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14091,[]
78,教学运行,关于2024-2025学年第二学期《大学英语（三）》课程期末考试安排的通知,2025-06-17,https://jwch.fzu.edu.cn//info/1036/14116.htm,"[{'附件名': '【2402大学英语三期末考-6.29上、下午.xlsx', '下载词数': 312, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485009'}]"
79,计划科,关于2025-2026学年第一学期通识教育选修课选课的通知,2025-09-06,https://jwch.fzu.edu.cn//info/1038/14184.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf', '下载词数': 1106, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714902'}, {'附件名': '【慕课堂学生操作手册.pdf', '下载词数': 778, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714903'}, {'附件名': '【智慧树学生手册2025.pptx', '下载词数': 1106, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714901'}]"
80,教研教改,福州大学关于开展2025级“数智实验班” 招生工作的通知,2025-09-05,https://jwch.fzu.edu.cn//info/1037/14179.htm,"[{'附件名': '【附件2：福州大学2025级“数智实验班”选拔方案.docx', '下载词数': 1539, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714573'}, {'附件名': '【附件1：福州大学2025级“数智实验班”招生简章.docx', '下载词数': 1551, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714572'}, {'附件名': '【附件3：承诺书.docx', '下载词数': 330, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714574'}]"
81,教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,2025-06-17,https://jwch.fzu.edu.cn//info/1036/14117.htm,"[{'附件名': '【2402大学物理A（上）、B（上）、C期末考-7.3上、下午.xlsx', '下载词数': 183, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485022'}]"
82,教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》和《高等数学C（下）》课程期末考试安排的通知,2025-06-18,https://jwch.fzu.edu.cn//info/1036/14121.htm,"[{'附件名': '【2402高数数学A中、B下、C下期末考-7.4上、下午.xlsx', '下载词数': 337, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485393'}]"
83,教学运行,关于2024-2025学年第二学期《英语专题》课程期末考试安排的通知,2025-06-17,https://jwch.fzu.edu.cn//info/1036/14115.htm,"[{'附件名': '【2402专题英语期末考-6.28上、下午.xlsx', '下载词数': 209, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485008'}]"
84,质量办,关于开学第一周集中听课的通知,2025-09-06,https://jwch.fzu.edu.cn//info/1040/14189.htm,"[{'附件名': '【附件1：福州大学课堂教学质量评估表.doc', '下载词数': 107, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714972'}, {'附件名': '【附件2：福州大学课堂教学质量评估表（思政课）.docx', '下载词数': 100, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714973'}, {'附件名': '【附件3：202501第一周课表.xlsx', '下载词数': 169, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714974'}, {'附件名': '【附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc', '下载词数': 71, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714975'}]"
85,教学运行,关于2025年端午节放假课程调整的通知,2025-05-27,https://jwch.fzu.edu.cn//info/1036/14084.htm,[]
86,教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,2025-09-02,https://jwch.fzu.edu.cn//info/1037/14176.htm,"[{'附件名': '【附件2：福州大学2025级“数理金融实验班”选拔方案.doc', '下载词数': 710, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714218'}, {'附件名': '【附件1：福州大学2025级“数理金融实验班”招生简章.doc', '下载词数': 888, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714580'}, {'附件名': '【附件3：2025级数理金融实验班申请表.doc', '下载词数': 331, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714220'}, {'附件名': '【附件4：承诺书.doc', '下载词数': 221, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714221'}]"
87,质量办,关于举办福州大学第七十场“教学有道”暨第三期智慧教学课程平台与AI智慧教学工具培训的通知,2025-05-26,https://jwch.fzu.edu.cn//info/1040/14076.htm,[]
88,综合科,关于2024-2025学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,2025-05-20,https://jwch.fzu.edu.cn//info/1035/14068.htm,[]
89,教学运行,福州大学关于印发本科生转专业管理实施办法的通知,2025-05-28,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14089,[]
90,实践科,福州大学关于修订印发《本科生毕业设计（论文）规范使用AI工具的规定》的通知,2025-05-22,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14075,[]
91,实践科,关于公布2023年、2024年本科生科研训练计划项目结题成绩的通知,2025-07-04,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14149,"[{'附件名': '【附件1：福州大学2023年国家级、省级、校级本科生科研训练计划项目结题成绩汇总表.docx', '下载词数': 479, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16681324'}, {'附件名': '【附件2：福州大学2024年国家级、省级、校级本科生科研训练计划项目结题成绩汇总表.docx', '下载词数': 934, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16490726'}]"
92,综合科,关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,2025-06-19,https://jwch.fzu.edu.cn//info/1035/14124.htm,"[{'附件名': '【教育部高等教育司关于开展人工智能综合能力提升培训工作的通知（6月30日前）.pdf', '下载词数': 390, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486009'}, {'附件名': '【（学院名称）——参加教育部人工智能综合能力提升培训工作情况 .xls', '下载词数': 239, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486008'}]"
