通知人,标题,日期,链接,是否存在附件,附件下载次数
教学运行,2016年春季学期《大学物理实验（上）》绪论课安排,"
2016-01-19
         ",https://jwch.fzu.edu.cn/info/1036/8197.htm,False,
计划科,关于核对2015-2016第二学期全校性公共选修课开课信息的有关通知,"
2016-01-15
         ",https://jwch.fzu.edu.cn/info/1038/8203.htm,False,
实践科,关于继续使用“维普论文检测系统”查重检测的通知,"
2016-01-15
         ",https://jwch.fzu.edu.cn/info/1039/9146.htm,False,
教学运行,关于印刷2015-2016学年第一学期本科补考试卷的通知,"
2016-01-15
         ",https://jwch.fzu.edu.cn/info/1036/8196.htm,False,
综合科,福州大学2015年本科教学工作总结,"
2016-01-11
         ",https://jwch.fzu.edu.cn/info/1035/7437.htm,False,
教学运行,关于辅修专业选课、免听、缴费的相关通知,"
2016-01-11
         ",https://jwch.fzu.edu.cn/info/1036/8195.htm,False,
实践科,福州大学关于公布“紫金杯”第三届大学生GPS定向越野大赛获奖名单的通知,"
2016-01-07
         ",https://jwch.fzu.edu.cn/info/1039/9145.htm,False,
教学运行,关于2015-2016学年第一学期高等数学(A、B、C)上、D期末考试安排的通知,"
2016-01-06
         ",https://jwch.fzu.edu.cn/info/1036/8190.htm,False,
教学运行,关于2015-2016学年第一学期高等数学A(下）、B（下）期末考试安排的通知,"
2016-01-06
         ",https://jwch.fzu.edu.cn/info/1036/8193.htm,False,
质量办,关于福州大学2015年第十三期新上岗教师达标培训班观摩公开课（二）的通知,"
2016-01-06
         ",https://jwch.fzu.edu.cn/info/1040/9212.htm,False,
教学运行,关于2015-2016第一学期工程制图、画法几何期末考试安排的通知,"
2016-01-06
         ",https://jwch.fzu.edu.cn/info/1036/8287.htm,False,
教学运行,关于2015-2016第一学期大学英语（四）期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8275.htm,False,
教学运行,关于2015-2016学年第一学期线性代数与解析几何期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8265.htm,False,
教学运行,关于2015-2016第一学期大学英语（三）期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8274.htm,False,
教学运行,关于2015-2016第一学期大学英语（一）期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8270.htm,False,
教学运行,关于2015-2016学年第一学期概率论与数理统计期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8268.htm,False,
教学运行,关于2015-2016第一学期大学英语（二）期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8278.htm,False,
教学运行,关于2015-2016第一学期大学英语拓展课期末考试安排的通知,"
2016-01-05
         ",https://jwch.fzu.edu.cn/info/1036/8282.htm,False,
教学运行,辅修经管院本学期选修会计学原理模拟实验（二）上课安排,"
2015-12-29
         ",https://jwch.fzu.edu.cn/info/1036/8243.htm,False,
教学运行,关于2016年元旦放假课程调整的通知,"
2015-12-29
         ",https://jwch.fzu.edu.cn/info/1036/9718.htm,False,
教学运行,关于大学物理（上）独立重修班考试的通知,"
2015-12-29
         ",https://jwch.fzu.edu.cn/info/1036/8262.htm,False,
教学运行,关于工程制图A（上）、D、E及画法几何更改期末考试时间的通知,"
2015-12-24
         ",https://jwch.fzu.edu.cn/info/1036/8240.htm,False,
教学运行,有关教务处试卷系统的补充通知,"
2015-12-22
         ",https://jwch.fzu.edu.cn/info/1036/8238.htm,False,
教学运行,关于2015-2016第一学期大学物理（下）、B(下）期末考试安排的通知,"
2015-12-21
         ",https://jwch.fzu.edu.cn/info/1036/8234.htm,False,
教学运行,关于2015-2016学年第二学期学生学期选课的通知,"
2015-12-18
         ",https://jwch.fzu.edu.cn/info/1036/8233.htm,False,
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2015-12-15
         ",https://jwch.fzu.edu.cn/info/1036/8232.htm,False,
实践科,关于福州大学本科生创新创业成果展示室建设项目检查验收安排的通知,"
2015-12-14
         ",https://jwch.fzu.edu.cn/info/1039/9144.htm,False,
教学运行,关于公布2015—2016学年第二学期修读辅修专业学生名单的通知,"
2015-12-11
         ",https://jwch.fzu.edu.cn/info/1036/8231.htm,False,
教学运行,有关2015级学生图像信息采集的通知,"
2015-12-08
         ",https://jwch.fzu.edu.cn/info/1036/8229.htm,False,
教学运行,有关启用教务处试卷管理系统的通知,"
2015-12-08
         ",https://jwch.fzu.edu.cn/info/1036/8230.htm,False,
教学运行,关于2015-2016第一学期《网络信息检索》期末考试安排的通知,"
2015-11-30
         ",https://jwch.fzu.edu.cn/info/1036/8350.htm,False,
教学运行,关于做好2016届预计毕业生电子注册图像采集工作的通知,"
2015-11-30
         ",https://jwch.fzu.edu.cn/info/1036/8228.htm,False,
实践科,关于第七届“蓝桥杯”软件大赛福州大学选拔赛竞赛通知,"
2015-11-26
         ",https://jwch.fzu.edu.cn/info/1039/9242.htm,False,
实践科,关于申报福州大学优秀校外实践教学基地答辩的通知,"
2015-11-25
         ",https://jwch.fzu.edu.cn/info/1039/9191.htm,False,
教学运行,关于2015-2016学年第一学期高等数学期中考试安排的通知,"
2015-11-19
         ",https://jwch.fzu.edu.cn/info/1036/8348.htm,False,
质量办,关于期中党政领导集中听课的通知,"
2015-11-17
         ",https://jwch.fzu.edu.cn/info/1040/9211.htm,False,
实践科,关于举办“紫金杯”福州大学第三届大学生GPS定向越野大赛的通知,"
2015-11-16
         ",https://jwch.fzu.edu.cn/info/1039/9189.htm,False,
实践科,关于举办“紫金杯”福州大学第三届大学生GPS定向越野大赛的通知,"
2015-11-16
         ",https://jwch.fzu.edu.cn/info/1039/9190.htm,False,
质量办,关于福州大学2015年第十三期新上岗教师达标培训班观摩公开课（一）的通知,"
2015-11-13
         ",https://jwch.fzu.edu.cn/info/1040/9210.htm,False,
教学运行,关于2016年度春季选派我校学生赴台湾东海大学交流学习的通知,"
2015-11-11
         ",https://jwch.fzu.edu.cn/info/1036/8344.htm,False,
教学运行,关于2015-2016学年第二学期排课工作的通知,"
2015-11-10
         ",https://jwch.fzu.edu.cn/info/1036/8341.htm,False,
教学运行,关于2015学年01学期在校学生申请修读“辅修专业”的通知,"
2015-11-10
         ",https://jwch.fzu.edu.cn/info/1036/8338.htm,False,
实践科,信息资源讲座 第159讲,"
2015-11-06
         ",https://jwch.fzu.edu.cn/info/1039/9187.htm,False,
实践科,关于参加信息资源讲座的通知,"
2015-11-06
         ",https://jwch.fzu.edu.cn/info/1039/9186.htm,False,
实践科,信息资源讲座 第160讲,"
2015-11-06
         ",https://jwch.fzu.edu.cn/info/1039/9188.htm,False,
教学运行,关于《拟组建经济与管理学院会计学、财务管理ACCA专业方向班》的宣讲通知,"
2015-11-03
         ",https://jwch.fzu.edu.cn/info/1036/8335.htm,False,
实践科,关于召开本科实验教学运行管理会议的通知,"
2015-11-03
         ",https://jwch.fzu.edu.cn/info/1039/9185.htm,False,
教研教改,关于报名参加福州大学“嘉锡讲坛”第412期讲座的通知,"
2015-11-02
         ",https://jwch.fzu.edu.cn/info/1037/8389.htm,False,
教学运行,2015-2016-1体育理论课教室安排表——2015级,"
2015-10-30
         ",https://jwch.fzu.edu.cn/info/1036/8333.htm,False,
实践科,关于举办福州大学第四届大学生软件设计与服务外包创新创业竞赛的通知,"
2015-10-29
         ",https://jwch.fzu.edu.cn/info/1039/9183.htm,False,
教学运行,关于2016年度春季选派我校学生赴台湾宜兰大学交流学习的通知,"
2015-10-28
         ",https://jwch.fzu.edu.cn/info/1036/8331.htm,False,
实践科,福州大学关于公布第六届证券交易模拟大赛获奖名单的通知,"
2015-10-27
         ",https://jwch.fzu.edu.cn/info/1039/9181.htm,False,
教研教改,关于报名参加福州大学“嘉锡讲坛”第411期讲座的通知,"
2015-10-27
         ",https://jwch.fzu.edu.cn/info/1037/8388.htm,False,
教学运行,关于2015-2016第一学期大学物理（下）期中考试安排的通知,"
2015-10-19
         ",https://jwch.fzu.edu.cn/info/1036/8328.htm,False,
教研教改,福州大学关于公布2015级“数理金融实验班”学生名单的通知,"
2015-10-16
         ",https://jwch.fzu.edu.cn/info/1037/8387.htm,False,
教研教改,福州大学关于公布2015级“数理综合班”学生名单的通知,"
2015-10-16
         ",https://jwch.fzu.edu.cn/info/1037/8386.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第410期讲座的通知,"
2015-10-15
         ",https://jwch.fzu.edu.cn/info/1037/8378.htm,False,
教研教改,关于做好与福州怡迅电梯有限公司校企合作项目的通知,"
2015-10-15
         ",https://jwch.fzu.edu.cn/info/1037/8385.htm,False,
教学运行,关于重修选课缴费时间延长的通知,"
2015-10-15
         ",https://jwch.fzu.edu.cn/info/1036/8323.htm,False,
实践科,关于举办福州大学第五届大学生工程训练综合能力竞赛的通知,"
2015-10-10
         ",https://jwch.fzu.edu.cn/info/1039/9179.htm,False,
质量办,关于申请福州大学2015-2016学年全日制研究生助教岗位的通知,"
2015-10-10
         ",https://jwch.fzu.edu.cn/info/1040/9209.htm,False,
教学运行,关于2016年度春季选派我校学生赴台湾大学交流学习的通知,"
2015-10-10
         ",https://jwch.fzu.edu.cn/info/1036/8320.htm,False,
质量办,关于福州大学学院审核评估日程安排的通知,"
2015-10-08
         ",https://jwch.fzu.edu.cn/info/1040/9208.htm,False,
教学运行,关于重修未缴费名单及延长缴费时间的通知,"
2015-10-08
         ",https://jwch.fzu.edu.cn/info/1036/8318.htm,False,
实践科,福州大学关于公布第十五届高等数学竞赛获奖名单的通知,"
2015-09-30
         ",https://jwch.fzu.edu.cn/info/1039/9177.htm,False,
综合科,关于召开福州大学本科教学审核评估动员大会的通知,"
2015-09-29
         ",https://jwch.fzu.edu.cn/info/1035/7435.htm,False,
教学运行,关于2014级2015-2016-1体育理论课教室安排的通知,"
2015-09-28
         ",https://jwch.fzu.edu.cn/info/1036/8314.htm,False,
教研教改,关于报名参加福州大学“嘉锡讲坛”第408期暨国学讲堂第22讲讲座的通知,"
2015-09-23
         ",https://jwch.fzu.edu.cn/info/1037/8374.htm,False,
教研教改,关于报名参加福州大学“嘉锡讲坛”第407期讲座的通知,"
2015-09-22
         ",https://jwch.fzu.edu.cn/info/1037/8372.htm,False,
教学运行,关于做好2015-2016学年第二学期排课准备工作的通知,"
2015-09-21
         ",https://jwch.fzu.edu.cn/info/1036/8304.htm,False,
教学运行,福州大学本科教学工作2015-2016学年第一学期工作要点,"
2015-09-21
         ",https://jwch.fzu.edu.cn/info/1036/8310.htm,False,
教学运行,关于大学物理（上）重修班上课时间调整的通知,"
2015-09-21
         ",https://jwch.fzu.edu.cn/info/1036/8307.htm,False,
教研教改,关于公布参加2015级数理金融班选拔面试学生名单的紧急通知,"
2015-09-16
         ",https://jwch.fzu.edu.cn/info/1037/8370.htm,False,
教研教改,关于公布参加2015级数理综合班选拔面试学生名单的紧急通知,"
2015-09-16
         ",https://jwch.fzu.edu.cn/info/1037/8366.htm,False,
实践科,关于举办福州大学第十三届物理实验竞赛的通知,"
2015-09-15
         ",https://jwch.fzu.edu.cn/info/1039/9175.htm,False,
教研教改,福州大学关于公布2013级数理综合班专业分流学生名单及学科导师名单的通知,"
2015-09-14
         ",https://jwch.fzu.edu.cn/info/1037/9644.htm,False,
教学运行,关于2015年12月全省高校计算机等级考试报名的通知,"
2015-09-14
         ",https://jwch.fzu.edu.cn/info/1036/8301.htm,False,
教学运行,关于2015级新生入学计算机分级考试安排的通知,"
2015-09-11
         ",https://jwch.fzu.edu.cn/info/1036/8298.htm,False,
教学运行,关于2015-2016学年第一学期重修选课的通知,"
2015-09-11
         ",https://jwch.fzu.edu.cn/info/1036/8293.htm,False,
计划科,关于2015-2016学年第一学期校选课开课的有关通知,"
2015-09-11
         ",https://jwch.fzu.edu.cn/info/1038/9702.htm,False,
质量办,关于2015年第13期新上岗教师达标培训班新教师配备导师的通知,"
2015-09-10
         ",https://jwch.fzu.edu.cn/info/1040/9207.htm,False,
计划科,关于校选课第二轮选课及部分课程停课的通知,"
2015-09-09
         ",https://jwch.fzu.edu.cn/info/1038/8192.htm,False,
教学运行,关于2015级新生入学英语分级考试安排的通知,"
2015-09-07
         ",https://jwch.fzu.edu.cn/info/1036/8290.htm,False,
教学运行,关于2014级学生《大学英语》免修申请的通知,"
2015-09-06
         ",https://jwch.fzu.edu.cn/info/1036/8399.htm,False,
教研教改,福州大学关于开展2015级“数理金融实验班”招生工作的通知,"
2015-09-02
         ",https://jwch.fzu.edu.cn/info/1037/8357.htm,False,
教研教改,福州大学关于开展2015级“数理综合班”招生工作的通知,"
2015-09-02
         ",https://jwch.fzu.edu.cn/info/1037/8355.htm,False,
教研教改,关于公布2015年福州大学教材立项出版资助名单的通知,"
2015-09-01
         ",https://jwch.fzu.edu.cn/info/1037/8353.htm,False,
教研教改,关于公布福州大学本科专业核心课程立项建设名单的通知,"
2015-09-01
         ",https://jwch.fzu.edu.cn/info/1037/8352.htm,False,
教学运行,关于2015年12月全国大学英语四、六级考试报名通知,"
2015-09-01
         ",https://jwch.fzu.edu.cn/info/1036/8397.htm,False,
教学运行,关于9月3日放假及课程调整的通知,"
2015-08-30
         ",https://jwch.fzu.edu.cn/info/1036/8395.htm,False,
教学运行,关于2015-2016学年第一学期跨院（系）、跨学科选修课（校选课）选课须知,"
2015-08-30
         ",https://jwch.fzu.edu.cn/info/1036/8394.htm,False,
教学运行,辅修专业补退选课程及缴费的通知,"
2015-08-30
         ",https://jwch.fzu.edu.cn/info/1036/9721.htm,False,
质量办,关于提交福州大学学院本科教学工作审核评估自评报告的通知,"
2015-08-29
         ",https://jwch.fzu.edu.cn/info/1040/9204.htm,False,
质量办,关于提交工程教育专业认证申请表的通知,"
2015-08-29
         ",https://jwch.fzu.edu.cn/info/1040/9205.htm,False,
质量办,关于开学第一周集中听课的通知,"
2015-08-29
         ",https://jwch.fzu.edu.cn/info/1040/9206.htm,False,
教学运行,关于2015-2016学年第一学期学期选课补退选的通知,"
2015-08-28
         ",https://jwch.fzu.edu.cn/info/1036/8384.htm,False,
教学运行,关于大学物理（上）（下）补考的相关通知,"
2015-07-13
         ",https://jwch.fzu.edu.cn/info/1036/8380.htm,False,
教学运行,2014-2015学年第2学期公共课及专业课补考安排,"
2015-07-13
         ",https://jwch.fzu.edu.cn/info/1036/8383.htm,False,
教学运行,2014学年第二学期公共数学补考安排表,"
2015-07-13
         ",https://jwch.fzu.edu.cn/info/1036/8382.htm,False,
计划科,关于核对2014-2015第二学期全校性公共选修课开课信息的有关通知,"
2015-07-11
         ",https://jwch.fzu.edu.cn/info/1038/8189.htm,False,
实践科,福州大学关于公布第十一届数学建模竞赛获奖名单的通知,"
2015-07-07
         ",https://jwch.fzu.edu.cn/info/1039/9171.htm,False,
实践科,福州大学关于公布2015届优秀本科生毕业设计（论文）名单的通知,"
2015-07-07
         ",https://jwch.fzu.edu.cn/info/1039/9173.htm,False,
实践科,福州大学关于公布首届创新创业大赛获奖名单的通知,"
2015-07-07
         ",https://jwch.fzu.edu.cn/info/1039/9168.htm,False,
教学运行,关于印刷2014-2015学年第二学期本科补考试卷的通知,"
2015-07-07
         ",https://jwch.fzu.edu.cn/info/1036/8377.htm,False,
质量办,关于开办2015年第十三期新上岗教师教学达标培训班的通知,"
2015-07-06
         ",https://jwch.fzu.edu.cn/info/1040/9203.htm,False,
实践科,关于福州大学第二十期本科生科研训练计划项目中期检查情况的通知,"
2015-07-03
         ",https://jwch.fzu.edu.cn/info/1039/9167.htm,False,
实践科,福州大学关于公布第二届大学生用户体验设计大赛获奖名单的通知,"
2015-07-03
         ",https://jwch.fzu.edu.cn/info/1039/9166.htm,False,
教学运行,关于辅修专业选课、免听、缴费的相关通知,"
2015-07-03
         ",https://jwch.fzu.edu.cn/info/1036/8375.htm,False,
教研教改,福州大学关于公布2014～2015学年教学优秀奖获奖名单的通知,"
2015-07-02
         ",https://jwch.fzu.edu.cn/info/1037/8429.htm,False,
教学运行,关于高等数学b、c（上）独立重修班考试地点更新的通知,"
2015-07-02
         ",https://jwch.fzu.edu.cn/info/1036/8365.htm,False,
教学运行,关于公布2015—2016学年第一学期修读辅修专业学生名单的通知,"
2015-07-02
         ",https://jwch.fzu.edu.cn/info/1036/9720.htm,False,
教研教改,福州大学关于印发修订后的教改立项项目管理实施办法的通知,"
2015-07-02
         ",https://jwch.fzu.edu.cn/info/1037/8428.htm,False,
教研教改,福州大学关于公布第十一届教学名师奖获奖名单的通知,"
2015-07-02
         ",https://jwch.fzu.edu.cn/info/1037/8349.htm,False,
实践科,关于2015年全国大学生数学建模竞赛暑期集训的通知,"
2015-07-01
         ",https://jwch.fzu.edu.cn/info/1039/9165.htm,False,
实践科,福州大学关于公布第五届大学生节能减排社会实践与科技竞赛获奖名单的通知,"
2015-06-29
         ",https://jwch.fzu.edu.cn/info/1039/9260.htm,False,
实践科,福州大学关于公布“用友新道杯”福州大学第八届企业经营模拟沙盘对抗赛暨榕城高校沙盘邀请赛获奖名单的通知,"
2015-06-29
         ",https://jwch.fzu.edu.cn/info/1039/9164.htm,False,
教学运行,关于高等数学b、c（上）重修班期末考试的通知,"
2015-06-29
         ",https://jwch.fzu.edu.cn/info/1036/8364.htm,False,
实践科,福州大学关于公布2015年省级以上大学生创新创业训练计划项目结题成绩的通知,"
2015-06-29
         ",https://jwch.fzu.edu.cn/info/1039/9259.htm,False,
教学运行,关于“思政课实践”、“思政原著导读”课程上课通知,"
2015-06-24
         ",https://jwch.fzu.edu.cn/info/1036/8362.htm,False,
教学运行,请参加2016年春季海外交流的同学提前做好英语成绩及出国证件准备的通知,"
2015-06-24
         ",https://jwch.fzu.edu.cn/info/1036/8363.htm,False,
教学运行,关于2014-2015第二学期大学物理实验（上）期末考试安排的通知,"
2015-06-23
         ",https://jwch.fzu.edu.cn/info/1036/8443.htm,False,
教学运行,关于2014-2015第二学期大学英语（二）期末考试安排的通知,"
2015-06-23
         ",https://jwch.fzu.edu.cn/info/1036/8356.htm,False,
教学运行,关于2014-2015第二学期工程制图期末考试安排的通知,"
2015-06-23
         ",https://jwch.fzu.edu.cn/info/1036/8351.htm,False,
教学运行,关于2014-2015第二学期概率论与数理统计期末考试安排的通知,"
2015-06-23
         ",https://jwch.fzu.edu.cn/info/1036/8354.htm,False,
教学运行,关于2014-2015第二学期大学英语（四）期末考试安排的通知,"
2015-06-23
         ",https://jwch.fzu.edu.cn/info/1036/8361.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第403期讲座的通知,"
2015-06-18
         ",https://jwch.fzu.edu.cn/info/1037/8424.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第404期讲座的通知,"
2015-06-18
         ",https://jwch.fzu.edu.cn/info/1037/8426.htm,False,
教学运行,关于2014-2015第二学期大学物理（上）期末考试安排的通知,"
2015-06-18
         ",https://jwch.fzu.edu.cn/info/1036/8441.htm,False,
实践科,关于组织实施2015年省级以上大学生创新创业训练计划的通知,"
2015-06-18
         ",https://jwch.fzu.edu.cn/info/1039/9258.htm,False,
教学运行,关于大学物理B（上）独立重修班考试的通知,"
2015-06-17
         ",https://jwch.fzu.edu.cn/info/1036/8438.htm,False,
教学运行,关于2015年端午节放假及课程调整的通知,"
2015-06-17
         ",https://jwch.fzu.edu.cn/info/1036/8436.htm,False,
教学运行,关于2015-2016学年第一学期学生学期选课的通知,"
2015-06-15
         ",https://jwch.fzu.edu.cn/info/1036/8434.htm,False,
实践科,福州大学关于公布第八届大学生结构设计竞赛获奖名单的通知,"
2015-06-12
         ",https://jwch.fzu.edu.cn/info/1039/9256.htm,False,
实践科,福州大学关于公布第十二届程序设计竞赛获奖名单的通知,"
2015-06-12
         ",https://jwch.fzu.edu.cn/info/1039/9257.htm,False,
实践科,福州大学关于公布“榕基软件杯”第三届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,"
2015-06-12
         ",https://jwch.fzu.edu.cn/info/1039/9255.htm,False,
教学运行,关于大学英语（一）（三）独立重修班考试的通知,"
2015-06-12
         ",https://jwch.fzu.edu.cn/info/1036/8432.htm,False,
实践科,关于召开2015年国家、省级大学生创新创业训练计划项目结题答辩暨经验交流会的通知,"
2015-06-08
         ",https://jwch.fzu.edu.cn/info/1039/9254.htm,False,
质量办,关于举办教学沙龙活动的通知,"
2015-06-05
         ",https://jwch.fzu.edu.cn/info/1040/9202.htm,False,
教学运行,关于2014-2015第二学期8-13周《大学英语专题课》考试安排的通知,"
2015-06-04
         ",https://jwch.fzu.edu.cn/info/1036/8430.htm,False,
教学运行,关于教务自助终端当前服务对象和功能说明的通知,"
2015-06-04
         ",https://jwch.fzu.edu.cn/info/1036/8431.htm,False,
教学运行,关于按时报送2015届毕业和学位材料的通知,"
2015-06-02
         ",https://jwch.fzu.edu.cn/info/1036/8427.htm,False,
教学运行,关于做好2014-2015第二学期期末复习考试及下学期开学等工作的通知,"
2015-06-02
         ",https://jwch.fzu.edu.cn/info/1036/8425.htm,False,
实践科,关于举办第四届中国创新创业大赛（福建赛区）暨第三届福建创新创业大赛 政策宣讲会的通知,"
2015-06-02
         ",https://jwch.fzu.edu.cn/info/1039/9253.htm,False,
质量办,关于做好教学专项评估整改工作的通知,"
2015-06-02
         ",https://jwch.fzu.edu.cn/info/1040/9240.htm,False,
计划科,关于组织申报2015-2016学年第一学期全校性公共选修课的通知,"
2015-06-01
         ",https://jwch.fzu.edu.cn/info/1038/8188.htm,False,
教研教改,关于报名参加福州大学“嘉锡讲坛”第400期讲座的通知,"
2015-06-01
         ",https://jwch.fzu.edu.cn/info/1037/8423.htm,False,
教研教改,福州大学关于印发本科生专业导师制管理实施办法的通知,"
2015-05-29
         ",https://jwch.fzu.edu.cn/info/1037/8422.htm,False,
教研教改,关于报名参加福州大学“嘉锡讲坛”第399期讲座的通知,"
2015-05-29
         ",https://jwch.fzu.edu.cn/info/1037/8420.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第398期暨福州大学第三届传统文化节系列活动三主题讲座的通知,"
2015-05-27
         ",https://jwch.fzu.edu.cn/info/1037/8418.htm,False,
教学运行,2015年全国大学生英语竞赛（C类）决赛简讯,"
2015-05-25
         ",https://jwch.fzu.edu.cn/info/1036/8421.htm,False,
质量办,关于第十二期新上岗教师观摩青年教师“最佳一节课”竞赛决赛的通知,"
2015-05-25
         ",https://jwch.fzu.edu.cn/info/1040/9239.htm,False,
教学运行,关于领取毕业证书和学位证书的通知,"
2015-05-24
         ",https://jwch.fzu.edu.cn/info/1036/8419.htm,False,
教学运行,关于2014学年02学期在校学生申请修读“辅修专业”的通知,"
2015-05-21
         ",https://jwch.fzu.edu.cn/info/1036/8417.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第396期暨福州大学第三届传统文化节系列活动四主题讲座的通知,"
2015-05-19
         ",https://jwch.fzu.edu.cn/info/1037/8416.htm,False,
教学运行,2014-2015年第二学期网络资源与信息检索期末考试通知,"
2015-05-18
         ",https://jwch.fzu.edu.cn/info/1036/8415.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第394期讲座的通知,"
2015-05-12
         ",https://jwch.fzu.edu.cn/info/1037/8414.htm,False,
教研教改,关于组织教师参加福州大学“教学名师讲坛”第6讲的通知,"
2015-05-11
         ",https://jwch.fzu.edu.cn/info/1037/8412.htm,False,
实践科,关于公布2015年省级大学生创新创业训练计划入选推荐项目的通知,"
2015-05-11
         ",https://jwch.fzu.edu.cn/info/1039/9252.htm,False,
教研教改,关于更改智慧树慕课平台宣讲会地点的紧急通知,"
2015-05-07
         ",https://jwch.fzu.edu.cn/info/1037/8410.htm,False,
实践科,关于申报2015年度省级大学生创新创业训练计划项目答辩的通知,"
2015-05-06
         ",https://jwch.fzu.edu.cn/info/1039/9251.htm,False,
教研教改,关于公布福州大学慕课（MOOC）/SPOC课程立项建设名单的通知,"
2015-05-05
         ",https://jwch.fzu.edu.cn/info/1037/8409.htm,False,
教学运行,关于2015年高雄第一科技大学财务金融暑期陆生专班项目的报名通知,"
2015-05-05
         ",https://jwch.fzu.edu.cn/info/1036/8413.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第392期讲座的通知,"
2015-05-04
         ",https://jwch.fzu.edu.cn/info/1037/8404.htm,False,
教学运行,关于2014-2015学年第二学期线性代数期末考试安排的通知,"
2015-05-04
         ",https://jwch.fzu.edu.cn/info/1036/8411.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第393期讲座的通知,"
2015-05-04
         ",https://jwch.fzu.edu.cn/info/1037/8406.htm,False,
教研教改,关于组织教师参加智慧树慕课平台宣讲会的通知,"
2015-05-04
         ",https://jwch.fzu.edu.cn/info/1037/8402.htm,False,
实践科,关于举办福州大学第六届证券模拟交易大赛的通知,"
2015-04-30
         ",https://jwch.fzu.edu.cn/info/1039/9250.htm,False,
实践科,关于举办福州大学第六届证券模拟交易大赛的通知,"
2015-04-29
         ",https://jwch.fzu.edu.cn/info/1039/9249.htm,False,
教学运行,2015年全国大学生英语竞赛福建省赛区决赛通知,"
2015-04-28
         ",https://jwch.fzu.edu.cn/info/1036/8408.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第390期讲座的通知,"
2015-04-27
         ",https://jwch.fzu.edu.cn/info/1037/8400.htm,False,
教学运行,全国大学生英语竞赛暨全省英语竞赛成绩通知,"
2015-04-27
         ",https://jwch.fzu.edu.cn/info/1036/8407.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第391期讲座的通知,"
2015-04-27
         ",https://jwch.fzu.edu.cn/info/1037/8401.htm,False,
教学运行,关于2015年“五一”劳动节放假课程调整的通知,"
2015-04-27
         ",https://jwch.fzu.edu.cn/info/1036/8405.htm,False,
实践科,关于组织推荐申报2015年大学生创新创业训练计划项目的紧急通知,"
2015-04-24
         ",https://jwch.fzu.edu.cn/info/1039/9248.htm,False,
实践科,关于组织推荐申报2015年大学生创新创业训练计划项目的紧急通知,"
2015-04-24
         ",https://jwch.fzu.edu.cn/info/1039/9247.htm,False,
教学运行,关于2015年韩国梨花女子大学暑期项目的报名通知,"
2015-04-23
         ",https://jwch.fzu.edu.cn/info/1036/8403.htm,False,
质量办,关于福州大学2015年校内专业评估（第三批）专家欢迎会及反馈会的通知,"
2015-04-22
         ",https://jwch.fzu.edu.cn/info/1040/9238.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第389期讲座的通知,"
2015-04-21
         ",https://jwch.fzu.edu.cn/info/1037/8398.htm,False,
教研教改,关于报名参加福州大学嘉锡讲坛第388期讲座的通知,"
2015-04-20
         ",https://jwch.fzu.edu.cn/info/1037/8396.htm,False,
教学运行,关于2014-2015学年第二学期高等数学期中考试安排的通知,"
2015-04-20
         ",https://jwch.fzu.edu.cn/info/1036/8472.htm,False,
教研教改,讲座：MOOC&微课建设实践与经验,"
2015-04-17
         ",https://jwch.fzu.edu.cn/info/1037/8478.htm,False,
教学运行,关于公布2015年各学院接收转专业学生计划的通知,"
2015-04-17
         ",https://jwch.fzu.edu.cn/info/1036/8471.htm,False,
实践科,关于省级以上大学生创新创业训练计划项目结题的通知,"
2015-04-17
         ",https://jwch.fzu.edu.cn/info/1039/9244.htm,False,
实践科,关于组织推荐申报2015年大学生创新创业训练计划项目的通知,"
2015-04-17
         ",https://jwch.fzu.edu.cn/info/1039/9245.htm,False,
实践科,关于做好本科生科研训练计划项目第十九期结题和第二十期中期检查及第二十一期立项工作的通知,"
2015-04-17
         ",https://jwch.fzu.edu.cn/info/1039/9246.htm,False,
教学运行,关于教务系统维护暂停使用的通知,"
2015-04-16
         ",https://jwch.fzu.edu.cn/info/1036/8469.htm,False,
教学运行,关于2015年度选派我校学生赴台湾艺术大学参加暑期研习班的通知,"
2015-04-16
         ",https://jwch.fzu.edu.cn/info/1036/8470.htm,False,
