通知人,标题,日期,链接,是否存在附件,附件下载次数
教研教改,福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,"
2025-09-04
         ",https://jwch.fzu.edu.cn/info/1037/14177.htm,True,632
教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,"
2025-09-02
         ",https://jwch.fzu.edu.cn/info/1037/14176.htm,True,806
电教中心,关于开展二期智慧教室、智慧实验室使用培训工作的通知,"
2025-08-29
         ",https://jwch.fzu.edu.cn/info/1041/14172.htm,False,
综合科,关于填报2024年度非学历教育发展数据的通知,"
2025-08-20
         ",https://jwch.fzu.edu.cn/info/1035/14171.htm,True,113
实践科,福州大学关于公布本科生开放探索性实验项目（课程）立项名单的通知,"
2025-07-08
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14152,False,
综合科,教务处关于2025年暑假工作安排的通知,"
2025-07-05
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=14151,True,344
实践科,关于公布2023年、2024年本科生科研训练计划项目结题成绩的通知,"
2025-07-04
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14149,True,845
实践科,关于公布2025年第二十五届数学竞赛获奖名单的通知,"
2025-07-02
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14147,False,
实践科,关于公布第十六届企业经营模拟沙盘对抗赛获奖名单的通知,"
2025-06-30
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14143,False,
实践科,关于公布2025年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,"
2025-06-30
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14142,True,326
教学运行,关于2025-2026学年第一学期辅修专业选课的通知,"
2025-06-30
         ",https://jwch.fzu.edu.cn/info/1036/14141.htm,False,
实践科,关于公布第十四届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,"
2025-06-27
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14139,False,
实践科,福州大学关于公布2025届本科生优秀毕业设计（论文）名单的通知,"
2025-06-24
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14134,True,1303
实践科,福州大学关于公布大学生劳动教育实践基地立项名单的通知,"
2025-06-24
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14135,False,
实践科,福州大学关于公布示范性校外实践教学基地立项名单的通知,"
2025-06-24
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14133,False,
质量办,关于举办福州大学第七十二场“教学有道”暨数智课程建设与应用实操工作坊的通知,"
2025-06-24
         ",https://jwch.fzu.edu.cn/info/1040/14131.htm,False,
实践科,关于2025高教社杯全国大学生数学建模竞赛报名的通知,"
2025-06-23
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14128,False,
综合科,关于更改2024-2025学年春季学期期末本科教育教学工作会议地点的通知,"
2025-06-23
         ",https://jwch.fzu.edu.cn/info/1035/14127.htm,False,
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2025-06-21
         ",https://jwch.fzu.edu.cn/info/1036/14126.htm,False,
教学运行,福州大学关于印发2025—2026学年校历的通知,"
2025-06-20
         ",https://jwch.fzu.edu.cn/info/1036/14125.htm,False,
综合科,关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,"
2025-06-19
         ",https://jwch.fzu.edu.cn/info/1035/14124.htm,True,260
