标题,日期,通知人,详细链接,附件1,下载次数1,链接码1,附件2,下载次数2,链接码2,附件3,下载次数3,链接码3,附件4,下载次数4,链接码4,附件5,下载次数5,链接码5,附件6,下载次数6,链接码6,附件7,下载次数7,链接码7,附件8,下载次数8,链接码8,附件9,下载次数9,链接码9
关于公布参加2022级“数理综合班”选拔面试学生名单的通知,2022-08-31,教研教改,https://jwch.fzu.edu.cn/../info/1037/12166.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布参加2022级“数理金融实验班”选拔面试学生名单的通知,2022-08-31,教研教改,https://jwch.fzu.edu.cn/../info/1037/12165.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开学第一周集中听课的通知,2022-08-28,质量办,https://jwch.fzu.edu.cn/../info/1040/12145.htm,附件1：福州大学课堂教学质量评估表（理论课）.doc,1705,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408178,附件2：2022-2023学年第一学期第一周课表.xlsx,2035,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408179,,,,,,,,,,,,,,,,,,,,,
关于2022-2023学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2022-08-28,综合科,https://jwch.fzu.edu.cn/../info/1035/12144.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2022级福州大学本科生学生证信息采集的通知,2022-08-28,综合科,https://jwch.fzu.edu.cn/../info/1035/12143.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2023年工程教育专业认证申请工作的通知,2022-08-28,质量办,https://jwch.fzu.edu.cn/../info/1040/12142.htm,附件3：工程教育认证申请书（2023版）修订说明.pdf,1619,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408175,附件1：2023年接受认证申请的专业领域及专业一览表.pdf,1510,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408173,附件2：工程教育认证申请书（2023版）.docx,1316,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408174,,,,,,,,,,,,,,,,,,
关于2022-2023第一学期学期选课、辅修选课补退选的通知,2022-08-28,教学运行,https://jwch.fzu.edu.cn/../info/1036/12141.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于开展2022级“嘉锡化学拔尖班”招生工作的通知,2022-08-26,教研教改,https://jwch.fzu.edu.cn/../info/1037/12137.htm,附件1：福州大学2022级“嘉锡化学拔尖班”招生简章.doc,2202,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407981,附件3： 申请表.doc,1624,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407983,附件4：福州大学“嘉锡化学拔尖班”实施方案.doc,1843,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407984,附件5：福州大学“嘉锡化学拔尖班”培养方案.doc,1958,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407985,附件2：福州大学2022级“嘉锡化学拔尖班”选拔方案.doc,1989,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407982,,,,,,,,,,,,
福州大学关于开展2022级“数理综合班” 招生工作的通知,2022-08-26,教研教改,https://jwch.fzu.edu.cn/../info/1037/12136.htm,附件1：福州大学2022级“数理综合班”招生简章.doc,3093,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407972,附件3：福州大学2022级“数理综合班”选拔线上（网络远程）面试工作流程.doc,1990,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407713,附件4：承诺书.doc,1722,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407714,附件2：福州大学2022级“数理综合班”选拔方案.doc,2328,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407712,,,,,,,,,,,,,,,
福州大学关于开展2022级“数理金融 实验班”招生工作的通知,2022-08-26,教研教改,https://jwch.fzu.edu.cn/../info/1037/12135.htm,附件1：福州大学2022级“数理金融实验班”招生简章.doc,2395,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407664,附件4：承诺书.doc,1381,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407667,附件2：福州大学2022级“数理金融实验班”选拔方案.doc,2236,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407665,附件5：线上（网络远程）面试工作流程.doc,1578,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407668,附件3：报名表.doc,1452,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407666,,,,,,,,,,,,
关于2022级学生选修《大学信息技术基础》的通知,2022-08-24,计划科,https://jwch.fzu.edu.cn/../info/1038/12124.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2022-2023学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2022-08-24,计划科,https://jwch.fzu.edu.cn/../info/1038/12123.htm,2022-2023学年第一学期国情课列表.docx,1764,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407382,港澳台侨学生思政课和军事课程退选申请表.docx,1545,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407383,,,,,,,,,,,,,,,,,,,,,
关于2022-2023学年第一学期通识教育选修课选课的通知,2022-08-24,计划科,https://jwch.fzu.edu.cn/../info/1038/12122.htm,爱课程学生注册与选课指南.doc,2145,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407426,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第八届材料创新、设计及应用大赛获奖名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12110.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第十九届程序设计竞赛获奖名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12109.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第十二届大学生节能减排社会实践与科技竞赛获奖名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12108.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第八届大学生用户体验设计大赛获奖名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12107.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第二十二届数学竞赛获奖名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12106.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第十一届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12105.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布福州大学2022届本科生优秀毕业设计（论文）名单的通知,2022-07-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12104.htm,附件：福州大学2022届优秀本科生毕业设计（论文）名单.doc,4529,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11396072,,,,,,,,,,,,,,,,,,,,,,,,
关于举办2022年福州大学大学生工程实践与创新能力大赛的通知,2022-07-08,实践科,https://jwch.fzu.edu.cn/../info/1039/12101.htm,附件3：2022年福建大学生工程实践与创新能力大赛总决赛命题与运行.pdf,3195,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11395949,,,,,,,,,,,,,,,,,,,,,,,,
关于2022届本科毕业生第三批毕业数据报送等相关工作的通知,2022-07-08,教学运行,https://jwch.fzu.edu.cn/../info/1036/12100.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于组织参加2022年全省本科教育管理人员视频培训班的通知,2022-07-05,综合科,https://jwch.fzu.edu.cn/../info/1035/12097.htm,闽教便函〔2022〕891号福建省教育厅办公室关于举办2022年省本科教育管理人员培训班的通知.pdf,1681,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11357009,,,,,,,,,,,,,,,,,,,,,,,,
关于2022-2023学年第一学期辅修专业选课的通知,2022-07-04,教学运行,https://jwch.fzu.edu.cn/../info/1036/12096.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于进一步加强校院两级本科教学督导工作的若干要求,2022-07-04,质量办,https://jwch.fzu.edu.cn/../info/1040/12095.htm,附件（学院本科教学督导组名单）.docx,1582,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11356598,,,,,,,,,,,,,,,,,,,,,,,,
关于召开2021-2022学年春季学期期末本科教学工作会议的通知,2022-07-01,综合科,https://jwch.fzu.edu.cn/../info/1035/12094.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于做好期末复习考试及下学期开学等工作的通知,2022-06-30,教学运行,https://jwch.fzu.edu.cn/../info/1036/12092.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于核对2022-2023学年第一学期通识教育选修课开课信息的有关通知,2022-06-29,计划科,https://jwch.fzu.edu.cn/../info/1038/12091.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于公布第六届远志创业实验班学生名单的通知,2022-06-24,教研教改,https://jwch.fzu.edu.cn/../info/1037/12088.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布2022年大学生劳动教育实践基地立项项目的通知,2022-06-23,实践科,https://jwch.fzu.edu.cn/../info/1039/12086.htm,附件：福州大学2022年大学生劳动教育实践基地立项建设名单.doc,2009,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11355160,,,,,,,,,,,,,,,,,,,,,,,,
关于举办福州大学一流课程建设培训会的通知,2022-06-23,教研教改,https://jwch.fzu.edu.cn/../info/1037/12085.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十九周）,2022-06-23,计划科,https://jwch.fzu.edu.cn/../info/1038/12082.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2022-2023学年第一学期本科生学期选课的通知,2022-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/12078.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《大学物理A（上）、B（上）、C》课程期末考试安排的通知,2022-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/12076.htm,2102 大学物理期末考试 7.7上午.xlsx,1903,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856589,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《工程制图A（下）、C（下）、D、F》课程期末考试安排的通知,2022-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/12074.htm,2102 制图A、C、D、F期末考试 7.4上午.xlsx,1608,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856581,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期大学英语拓展课程期末考试安排的通知,2022-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/12073.htm,2102 英语拓展期末考试 7.2上午、下午.xlsx,1607,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856574,,,,,,,,,,,,,,,,,,,,,,,,
关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十八周）,2022-06-16,计划科,https://jwch.fzu.edu.cn/../info/1038/12069.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《大学英语（二）、（三）、（四）》课程期末考试安排的通知,2022-06-15,教学运行,https://jwch.fzu.edu.cn/../info/1036/12068.htm,2102 英语二、四 期末考试 6.26.xlsx,1756,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855982,2102 英语三 期末考试 6.26.xlsx,2039,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855981,,,,,,,,,,,,,,,,,,,,,
关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十七周）,2022-06-09,计划科,https://jwch.fzu.edu.cn/../info/1038/12064.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第二十八期本科生科研训练计划立项项目的通知,2022-06-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12063.htm,附件2：福州大学第二十八期本科生科研训练计划立项项目汇总表.xlsx,7471,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855093,附件1：福州大学2022年省级及以上大学生创新创业训练计划立项项目汇总表.xlsx,5580,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7855094,,,,,,,,,,,,,,,,,,,,,
关于公布福州大学第八届桥梁设计大赛获奖名单的通知,2022-06-09,实践科,https://jwch.fzu.edu.cn/../info/1039/12062.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于印发《福州大学本科专业预警及动态调整管理实施办法（试行）》的通知,2022-06-08,质量办,https://jwch.fzu.edu.cn/../info/1040/12061.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于举办福州大学第三十五场“教学有道”研讨活动暨虚拟教研室建设推进会的通知,2022-06-08,教研教改,https://jwch.fzu.edu.cn/../info/1037/12056.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2022届本科生毕业设计（论文）推优工作的通知,2022-06-06,实践科,https://jwch.fzu.edu.cn/../info/1039/12055.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展福州大学2022年本科规划教材立项工作的通知,2022-06-02,教材中心,https://jwch.fzu.edu.cn/../info/1042/12052.htm,附件1：福州大学2022年本科规划教材立项申请书.docx,1751,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7856077,附件2：福州大学2022年本科规划教材立项汇总表.docx,1604,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853919,,,,,,,,,,,,,,,,,,,,,
关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十六周）,2022-06-02,计划科,https://jwch.fzu.edu.cn/../info/1038/12050.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于公布2020级数理金融实验班学生主辅修专业及导师名单的通知,2022-05-31,教研教改,https://jwch.fzu.edu.cn/../info/1037/12049.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2022年度教师本科教学综合测评工作的通知,2022-05-31,质量办,https://jwch.fzu.edu.cn/../info/1040/12048.htm,附件.docx,1725,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853507,,,,,,,,,,,,,,,,,,,,,,,,
关于2022年端午节放假课程调整的通知,2022-05-31,教学运行,https://jwch.fzu.edu.cn/../info/1036/12047.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论（下）》、《中国近现代史纲要》、《思想道德修养与法律基础》课程期末考试安排的通知,2022-05-31,教学运行,https://jwch.fzu.edu.cn/../info/1036/12046.htm,2102 毛泽东思想和中国特色社会主义理论体系概论（下） 期末考试（随堂考）.xlsx,1605,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853408,2102 思想道德修养与法律基础 期末考试（随堂考）.xlsx,1564,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853410,2102 中国近现代史纲要 期末考试（随堂考）.xlsx,1532,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853409,2102马克思主义基本原理 期末考试（随堂考）.xlsx,1446,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853407,,,,,,,,,,,,,,,
福州大学关于公布2020级数理综合班专业分流学生名单及学科导师名单的通知,2022-05-31,教研教改,https://jwch.fzu.edu.cn/../info/1037/12044.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《高等数学A（中）》、《高等数学C（下）》课程期末考试安排的通知,2022-05-30,教学运行,https://jwch.fzu.edu.cn/../info/1036/12043.htm,2102 高数A、C期末考试6.12下午.xlsx,1412,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853287,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《高等数学B（下）》课程期末考试安排的通知,2022-05-30,教学运行,https://jwch.fzu.edu.cn/../info/1036/12042.htm,2102 高数B期末考试 6.12上午.xlsx,1686,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853290,,,,,,,,,,,,,,,,,,,,,,,,
关于报名参加2021-2022学年第二学期国情教育网络培训的通知,2022-05-30,计划科,https://jwch.fzu.edu.cn/../info/1038/12041.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十五周）,2022-05-26,计划科,https://jwch.fzu.edu.cn/../info/1038/12031.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布2022年本科生创新创业实践与素质拓展学分认定结果的通知,2022-05-24,实践科,https://jwch.fzu.edu.cn/../info/1039/12022.htm,福州大学2022年本科生创新创业实践与素质拓展学分认定汇总表.doc,2860,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7853657,,,,,,,,,,,,,,,,,,,,,,,,
关于2021学年再次启用火车票自助取票机的通知,2022-05-23,综合科,https://jwch.fzu.edu.cn/../info/1035/12021.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第十三届企业经营模拟沙盘对抗赛获奖名单的通知,2022-05-23,实践科,https://jwch.fzu.edu.cn/../info/1039/12019.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于公布第二届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,2022-05-23,实践科,https://jwch.fzu.edu.cn/../info/1039/12018.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于做好2022-2023学年第一学期教材选用及征订工作的通知,2022-05-23,教材中心,https://jwch.fzu.edu.cn/../info/1042/12016.htm,附件1：福州大学教材选用与供应管理办法（福大教【2020】22号）.docx,1823,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851522,附件2：教育部办公厅关于加强高等学校使用外国教材管理的通知.docx,1322,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851521,附件3：已出版马克思主义理论研究和建设工程重点教材目录（截至2022年4月，共计110种）.xlsx,1365,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851523,附件4：全国大中专教学用书目录(2022秋).xlsx,1911,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7851524,,,,,,,,,,,,,,,
关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2021-2022学年第二学期第十四周）,2022-05-20,计划科,https://jwch.fzu.edu.cn/../info/1038/12014.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2022届本科毕业设计（论文）抽检送审工作的补充规定,2022-05-17,实践科,https://jwch.fzu.edu.cn/../info/1039/12012.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期计算机语言课程期末考试安排的通知,2022-05-16,教学运行,https://jwch.fzu.edu.cn/../info/1036/12008.htm,2102 计算机语言期末考试5.29.xlsx,1246,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7850170,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《线性代数》、《线性代数与解析几何》课期末考试安排的通知,2022-05-16,教学运行,https://jwch.fzu.edu.cn/../info/1036/12007.htm,2102 线代期末考试 5.28.xlsx,1395,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7850169,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《概率论与数理统计》课程期末考试安排的通知,2022-05-16,教学运行,https://jwch.fzu.edu.cn/../info/1036/12006.htm,2102 概率期末考试 5.29.xlsx,1415,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7850168,,,,,,,,,,,,,,,,,,,,,,,,
关于2023届预计毕业生核对电子注册学历信息的通知,2022-05-16,教学运行,https://jwch.fzu.edu.cn/../info/1036/12005.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于举办福州大学第三十四场“教学有道”研讨活动的通知,2022-05-11,质量办,https://jwch.fzu.edu.cn/../info/1040/12001.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州大学关于开展第六届远志创业实验班招生工作的通知,2022-05-11,教研教改,https://jwch.fzu.edu.cn/../info/1037/12000.htm,附件1：福州大学第六届远志创业实验班招生简章.docx,3194,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7849547,附件2：远志创业实验班修读申请表.docx,2007,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7849548,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2022-05-10,综合科,https://jwch.fzu.edu.cn/../info/1035/11997.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022学年第二学期在校学生申请辅修专业的通知,2022-05-09,计划科,https://jwch.fzu.edu.cn/../info/1038/11996.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2022年工程教育认证线上培训的通知,2022-05-09,质量办,https://jwch.fzu.edu.cn/../info/1040/11994.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2022届本科毕业生在校学习体验调研的通知,2022-05-06,质量办,https://jwch.fzu.edu.cn/../info/1040/11992.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2022届预计毕业生补拍电子注册学历照片的通知,2022-05-06,教学运行,https://jwch.fzu.edu.cn/../info/1036/11991.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于做好第二十六期、二十七期本科生科研训练计划项目结题工作的通知,2022-05-05,实践科,https://jwch.fzu.edu.cn/../info/1039/11988.htm,srtp项目结题附件.zip,2324,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847988,,,,,,,,,,,,,,,,,,,,,,,,
关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,2022-05-05,实践科,https://jwch.fzu.edu.cn/../info/1039/11987.htm,国创省创结题附件.zip,1588,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847987,,,,,,,,,,,,,,,,,,,,,,,,
关于开展大学生劳动教育优秀案例征集评选活动的通知,2022-05-04,实践科,https://jwch.fzu.edu.cn/../info/1039/11986.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展福州大学2021年一流本科课程建设项目进度检查的通知,2022-05-04,教研教改,https://jwch.fzu.edu.cn/../info/1037/11985.htm,附件3：福州大学一流本科课程建设项目成果简述表.docx,1744,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847708,附件2：福州大学一流本科课程建设项目名单.doc,1857,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847709,附件1：福州大学线上线下混合式一流课程（爱课程SPOC）建设项目名单.doc,1637,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7847710,,,,,,,,,,,,,,,,,,
关于对2022届本科毕业设计（论文）进行查重检测的通知,2022-04-29,实践科,https://jwch.fzu.edu.cn/../info/1039/11977.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于开展2022届本科毕业设计（论文）抽检送审工作的通知,2022-04-28,实践科,https://jwch.fzu.edu.cn/../info/1039/11970.htm,附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,3226,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846644,附件2：2022届福州大学本科毕业设计（论文）抽检情况汇总表.xlsx,3186,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846645,,,,,,,,,,,,,,,,,,,,,
关于2022年全国大学生统计建模大赛参赛报名的通知,2022-04-28,实践科,https://jwch.fzu.edu.cn/../info/1039/11969.htm,附件1：2022年全国大学生统计建模竞赛通知.pdf,3373,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846374,附件2：第八届全国大学生统计建模竞赛资料.pdf,11823,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7846373,,,,,,,,,,,,,,,,,,,,,
关于组织申报2022-2023学年第一学期通识教育选修课的通知,2022-04-26,计划科,https://jwch.fzu.edu.cn/../info/1038/11957.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2021-2022学年第二学期《工程制图E》课程期末考试安排的通知,2022-04-26,教学运行,https://jwch.fzu.edu.cn/../info/1036/11956.htm,2102 制图E期末考试5.8上午.xlsx,1103,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7845041,,,,,,,,,,,,,,,,,,,,,,,,
关于举办福州大学第三十三场“教学有道”研讨活动的通知,2022-04-22,质量办,https://jwch.fzu.edu.cn/../info/1040/11954.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
