标题,日期,通知人,详细链接,附件1,下载次数1,链接码1,附件2,下载次数2,链接码2,附件3,下载次数3,链接码3,附件4,下载次数4,链接码4,附件5,下载次数5,链接码5,附件6,下载次数6,链接码6,附件7,下载次数7,链接码7,附件8,下载次数8,链接码8,附件9,下载次数9,链接码9
福州大学关于印发2025—2026学年校历的通知,2025-06-20,教学运行,https://jwch.fzu.edu.cn/../info/1036/14125.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,2025-06-19,综合科,https://jwch.fzu.edu.cn/../info/1035/14124.htm,教育部高等教育司关于开展人工智能综合能力提升培训工作的通知（6月30日前）.pdf,399,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486009,（学院名称）——参加教育部人工智能综合能力提升培训工作情况 .xls,245,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16486008,,,,,,,,,,,,,,,,,,,,,
关于核对2025-2026学年第一学期通识教育选修课开课信息的有关通知,2025-06-19,计划科,https://jwch.fzu.edu.cn/../info/1038/14123.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》和《高等数学C（下）》课程期末考试安排的通知,2025-06-18,教学运行,https://jwch.fzu.edu.cn/../info/1036/14121.htm,2402高数数学A中、B下、C下期末考-7.4上、下午.xlsx,345,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485393,,,,,,,,,,,,,,,,,,,,,,,,
关于召开2024-2025学年春季学期期末本科教育教学工作会议的通知,2025-06-18,综合科,https://jwch.fzu.edu.cn/../info/1035/14120.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,2025-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/14117.htm,2402大学物理A（上）、B（上）、C期末考-7.3上、下午.xlsx,189,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485022,,,,,,,,,,,,,,,,,,,,,,,,
关于2024-2025学年第二学期《大学英语（三）》课程期末考试安排的通知,2025-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/14116.htm,2402大学英语三期末考-6.29上、下午.xlsx,318,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485009,,,,,,,,,,,,,,,,,,,,,,,,
关于2024-2025学年第二学期《英语专题》课程期末考试安排的通知,2025-06-17,教学运行,https://jwch.fzu.edu.cn/../info/1036/14115.htm,2402专题英语期末考-6.28上、下午.xlsx,213,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16485008,,,,,,,,,,,,,,,,,,,,,,,,
关于2025-2026学年第一学期本科生学期选课的通知,2025-06-16,教学运行,https://jwch.fzu.edu.cn/../info/1036/14114.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,
关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,2025-06-10,教学运行,https://jwch.fzu.edu.cn/../info/1036/14107.htm,2402大学英语四期末考-6.20上午.xlsx,209,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478613,2402大学英语二期末考-6.28下午.xlsx,235,https://jwch.fzu.edu.cn/stem/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16478612,,,,,,,,,,,,,,,,,,,,,
